_20260128_212646_CH01_DUT_TMO-SA_HPUE PC3_NJ NY_,_20260128_212646_CH02_DUT_TMO-SA_HPUE PC2_NJ NY_
,-74.17
-77.84,-81.0
-84.57,-90.4
-88.73,-84.0
-81.36,-82.07
-78.96,-80.19
-78.43,-75.68
-75.0,-78.22
-81.22,-81.67
-83.19,-79.47
-76.0,-78.89
-75.12,-79.86
-77.6,-80.63
-78.9,-78.3
-81.21,-82.43
-83.24,-83.78
-82.71,-82.5
-83.25,-82.52
-81.31,-82.9
-80.63,-83.94
-82.56,-81.8
-82.12,-80.02
-79.48,-84.51
-80.83,-83.87
-85.07,-83.68
-83.77,-84.04
-85.1,-85.79
-83.56,-86.93
-85.69,-89.4
-86.07,-88.77
-87.63,-89.0
-87.41,-91.31
-89.0,-92.67
-89.33,-93.67
-93.25,-93.14
-93.08,-93.98
-92.73,-94.87
-92.43,-94.52
-91.68,-95.21
-91.26,-94.0
-91.33,-93.71
-90.62,-93.69
-92.32,-94.93
-91.88,-96.25
-92.43,-96.71
-93.69,-96.5
-91.5,-95.27
-92.26,-95.13
-92.64,-94.05
-91.72,-90.14
-88.73,-91.33
-87.17,-89.43
-85.7,-85.0
-88.43,-84.5
-87.2,-85.64
-87.75,-83.67
-83.86,-86.89
-89.22,-91.1
-89.86,-89.63
-89.52,-88.02
-86.1,-85.75
-83.36,-83.49
-84.38,-85.55
-88.5,-87.08
-88.86,-88.26
-88.82,-88.9
-89.09,-89.69
-86.94,-88.81
-88.17,-90.54
-88.96,-88.02
-84.67,-90.41
-86.67,-90.68
-88.32,-89.5
-85.33,-89.38
-89.67,-88.33
-86.4,-91.08
-92.75,-92.75
-92.5,-94.34
-95.5,-93.83
-94.14,-91.79
-93.55,-90.19
-94.58,-92.89
-93.71,-90.53
-95.88,-93.98
-96.84,-97.17
-97.2,-93.52
-96.34,-97.98
-99.12,-97.79
-96.14,-99.02
-98.64,-97.78
-96.4,-96.48
-96.68,-96.32
-95.36,-97.06
-95.28,-99.04
-95.62,-94.32
-92.29,-94.0
-91.91,-91.25
-91.19,-93.55
-93.82,-94.55
-94.29,-93.93
-91.93,-99.0
-95.13,-96.0
-94.97,-99.27
-100.12,-101.0
-98.08,-98.44
-95.28,-99.89
-99.23,-97.62
-96.47,-100.66
-96.84,-102.63
-100.46,-100.0
-99.56,-99.25
-101.78,-104.09
-104.29,-103.33
-104.94,-104.83
-104.3,-106.98
-106.02,-107.1
-107.2,-106.29
-107.0,-105.83
-106.07,-104.42
-105.38,-105.91
-105.33,-105.43
-104.24,-105.91
-105.18,-110.18
-107.34,-106.5
-104.02,-103.0
-103.36,-105.93
-103.93,-104.37
-105.15,-106.76
-104.83,-103.0
-104.97,-105.89
-106.54,-105.39
-103.6,-107.44
-102.44,-106.53
-102.4,-103.59
-101.02,-103.6
-106.24,-106.26
-106.11,-103.79
-104.82,-101.83
-104.87,-103.12
-104.04,-103.02
-104.8,-104.23
-105.78,-104.13
-106.4,-104.6
-106.56,-107.15
-107.76,-107.3
-104.18,-110.23
-107.58,-110.57
-106.74,-112.87
-107.76,-115.18
-110.2,-114.46
-111.76,-110.0
-111.5,-112.06
-110.7,-114.64
-114.29,-113.73
-111.81,-115.78
-112.87,-113.44
-111.78,-114.1
-112.88,-114.17
-115.03,-114.0
-113.64,-116.34
-114.97,-114.89
-113.34,-114.72
-114.72,-114.38
-114.22,-117.48
-115.12,
-114.63,
-116.86,
