PC3,PC2
-106.76,-110.25
-107.5,-109.17
-105.95,-107.0
-100.6,-103.26
-101.2,-102.17
-100.93,-105.43
-101.0,-106.29
-96.83,-102.24
-100.33,-103.0
-97.11,-98.71
-94.41,-97.15
-92.0,-93.85
-94.42,-96.58
-99.56,-103.02
-98.08,-102.98
-91.77,-99.04
-87.11,-93.83
-93.58,-98.94
-94.22,-95.54
-90.19,-92.57
-90.43,-90.12
-92.33,-93.83
-91.25,-92.15
-88.24,-90.36
-84.74,-86.17
-80.72,-82.04
-77.28,-78.64
-73.4,-74.83
-75.92,-79.43
-70.44,-73.88
-79.61,-73.0
-85.23,-86.2
-80.63,-76.33
-78.0,-74.35
-78.08,-74.5
-75.96,-76.03
-79.0,-76.83
-82.12,-79.06
-84.57,-87.65
-89.25,-94.41
-89.47,-89.56
-86.38,-86.47
-85.77,-82.27
-81.45,-81.98
-83.96,-88.56
-85.57,-92.21
-81.35,-90.35
-80.44,-87.09
-81.56,-84.13
-86.0,-83.25
-83.6,-83.25
-85.87,-85.12
-86.69,-85.33
-86.6,-83.75
-86.75,-84.72
-88.67,-84.95
-86.4,-83.47
-89.2,-86.89
-88.85,-85.0
-90.15,-86.81
-88.79,-88.87
-90.62,-88.56
-92.24,-90.28
-93.29,-92.2
-90.33,-91.88
-87.59,-91.31
-90.85,-91.13
-91.67,-92.71
-89.96,-91.06
-94.52,-94.31
-96.06,-98.24
-93.04,-94.67
-94.88,-96.34
-97.13,-94.82
-96.83,-95.09
-97.6,-98.0
-97.0,-95.6
-97.25,-99.92
-94.18,-96.57
-97.91,-100.0
-95.87,-97.33
-93.92,-95.47
-93.12,-94.87
-93.44,-95.78
-96.81,-97.23
-93.92,-96.04
-96.51,-96.12
-97.96,-97.18
-96.63,-98.62
-101.25,-101.88
-98.24,-101.88
-96.17,-100.59
-100.5,-101.54
-95.34,-99.48
-96.73,-100.3
-98.6,-101.34
-98.88,-100.87
-98.83,-100.17
-102.19,-102.38
-105.9,-102.42
-103.93,-105.0
-105.74,-106.11
-107.15,-107.89
-105.85,-104.44
-106.85,-108.5
-104.1,-108.11
-104.47,-103.56
-105.65,-105.51
-104.68,-104.4
-106.17,-107.67
-104.33,-107.21
-102.44,-105.57
-105.7,-106.15
-106.23,-106.55
-106.71,-104.96
-104.7,-104.04
-104.7,-104.37
-103.33,-105.38
-102.27,-106.62
-103.0,-108.04
-103.02,-106.66
-105.21,-105.51
-104.48,-105.63
-107.0,-105.41
-106.62,-102.88
-108.0,-104.71
-105.5,-104.73
-108.4,-105.0
-107.3,-105.65
-107.37,-107.33
-108.05,-109.0
-108.0,-109.69
-106.9,-108.13
-106.82,-108.23
-107.38,-106.85
-105.71,-108.7
-105.1,-110.12
-108.25,-111.17
-109.09,-110.62
-112.17,-114.0
-114.17,-113.61
-112.14,-112.66
-111.78,-112.72
-111.78,-113.5
-111.77,-113.34
-112.89,-114.33
-110.56,-112.13
-111.8,-112.81
-111.64,-112.79
-115.75,-116.71
-114.33,-119.33
-113.04,-115.84
-112.31,-113.97
-111.27,-115.0
-113.31,-117.62
-113.33,-112.67
-114.18,-116.64
-113.53,
-112.79,
-114.14,
-115.14,
-111.56,
-112.89,-115.85
-112.53,-114.17
-112.2,-111.33
-107.56,-111.8
-110.62,-111.24
-112.42,-111.36
-109.5,-112.42
-109.13,-109.67
-105.47,-107.21
-106.11,-108.5
-103.85,-109.13
-104.38,-106.0
-106.56,-105.96
-107.81,-106.93
-103.93,-105.48
-105.29,-104.04
-107.11,-105.76
-104.64,-107.64
-101.77,-109.26
-101.39,-108.38
-100.86,-106.61
-105.0,-106.91
-105.0,-111.33
-102.98,-110.97
-106.55,-108.92
-105.15,-107.28
-104.7,-108.87
-106.04,-107.85
-107.02,-105.86
-105.58,-106.21
-104.62,-106.68
-106.04,-106.74
-103.92,-104.84
-105.96,-105.0
-105.09,-105.0
-103.83,-104.53
-104.02,-106.0
-103.93,-105.33
-103.77,-106.12
-103.41,-104.57
-103.87,-105.5
-103.9,-106.5
-105.66,-106.11
-105.83,-107.7
-105.12,-107.19
-104.6,-105.67
-102.77,-107.54
-102.49,-108.7
-101.57,-108.03
-105.31,-106.31
-104.58,-106.67
-105.17,-106.67
-101.35,-111.7
-104.77,-107.0
-102.75,-108.22
-101.98,-102.74
-101.23,-106.03
-101.49,-103.96
-102.76,-101.68
-103.35,-103.14
-106.51,-107.81
-106.2,-108.98
-106.39,-108.89
-102.32,-105.04
-104.69,-107.51
-105.33,-107.45
-105.78,-109.16
-104.73,-106.94
-106.02,-102.54
-104.55,
