_20260128_210507_CH01_DUT_TMO-SA_HPUE PC3_NJ NY_,_20260128_210507_CH02_DUT_TMO-SA_HPUE PC2_NJ NY_
4.3,7.8
7.5,7.8
2.5,5.3
4.0,2.1
6.1,7.2
10.1,10.2
8.5,10.2
3.7,7.4
8.3,3.8
7.4,3.3
2.0,-2.4
1.7,-1.2
0.9,-0.2
-1.6,1.7
-13.0,-9.6
-13.2,-8.0
-13.9,-12.6
-11.6,-8.7
-11.2,-15.9
-8.7,-11.7
-5.5,-3.7
-8.9,-11.2
-18.1,-8.8
-13.9,-14.2
-14.1,-9.9
-6.3,-14.5
-7.0,-13.0
-1.6,-1.8
0.2,0.7
-6.2,-3.0
-4.5,0.2
-4.4,-3.6
-1.6,-8.6
-0.5,-7.3
4.9,-7.3
1.7,-12.8
6.8,-8.9
8.0,-4.0
-5.0,-4.5
-6.0,-8.6
-3.0,-5.5
-5.6,-8.8
-6.1,-4.7
-4.9,-3.3
-3.5,-0.7
-3.5,0.3
1.8,-1.0
0.6,-4.2
3.4,-4.0
-0.2,-4.9
5.7,-0.2
3.3,-2.4
7.6,4.0
7.7,5.4
5.9,6.0
7.8,11.0
12.8,10.2
8.6,8.4
7.9,11.5
6.3,13.0
6.4,6.6
6.7,6.3
7.2,7.5
13.0,15.0
14.6,14.4
15.2,14.5
15.8,14.9
20.0,18.0
15.2,17.0
14.0,15.0
14.0,17.0
13.0,12.0
13.8,13.1
11.9,13.2
12.0,16.8
12.7,20.0
13.3,14.5
10.2,15.0
13.0,15.0
16.3,11.0
12.8,10.8
12.8,11.9
14.8,12.0
18.8,14.5
17.0,17.7
17.8,20.0
20.0,20.0
20.0,20.0
20.0,16.5
20.0,20.0
20.0,20.0
20.0,19.0
20.0,18.2
19.7,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
15.0,20.0
