PC3,PC2
8.8,15.6
10.6,14.7
6.0,11.9
8.5,12.2
9.8,11.4
7.8,9.2
3.0,8.0
2.5,5.9
5.0,2.4
7.0,9.2
6.2,10.8
-6.4,4.8
-0.9,16.1
2.8,15.1
-1.0,9.1
-3.0,7.7
-1.4,4.2
2.2,6.1
-4.8,5.9
-1.6,-2.2
-11.3,-10.3
-11.6,-10.9
-13.2,-14.4
-17.1,-13.4
-21.7,-9.8
-9.0,-2.5
-6.5,-4.4
-15.0,-9.2
-19.3,-12.2
-9.5,-12.5
-12.0,-8.8
-6.3,-6.8
-6.8,-0.3
1.0,4.3
-2.5,2.6
-2.4,-8.3
5.4,-11.0
1.9,-2.2
-7.0,0.6
-6.2,-4.3
-8.1,-5.8
-5.6,-8.0
-6.5,-9.3
-3.7,-5.0
-4.2,-4.0
-3.8,-2.3
-1.9,-1.7
-3.4,-3.5
-3.9,-3.9
-2.2,-5.1
-1.8,-3.2
1.2,0.5
4.8,3.3
2.6,0.7
-0.8,0.5
-0.6,-1.0
2.2,1.6
4.5,4.5
8.2,7.7
7.2,4.8
5.2,6.0
2.1,1.2
3.1,4.1
2.2,6.0
3.6,10.9
4.0,10.3
4.0,9.2
4.4,8.0
8.6,12.5
8.0,9.7
9.2,11.9
7.2,12.2
6.8,11.1
6.1,8.3
8.4,6.9
15.0,10.0
17.0,15.0
16.5,18.2
13.0,16.0
16.5,13.0
15.8,20.0
14.1,14.2
14.4,13.9
11.3,12.3
12.4,13.2
11.0,17.2
14.5,17.8
8.8,20.0
13.8,16.0
17.2,16.0
20.0,19.0
20.0,17.0
18.7,18.6
20.0,20.0
17.8,19.8
18.2,20.0
16.4,19.1
16.8,19.6
19.3,19.3
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
19.0,20.0
20.0,20.0
