PC2,PC3
,-99.25
-92.0,-97.42
-92.75,-97.38
,-97.17
-91.0,-97.67
-90.0,-97.57
,-96.83
-91.0,-96.0
-92.0,
-94.8,-92.67
-94.0,-92.55
-94.0,-92.43
-93.0,-93.25
-93.0,-94.67
-92.75,-98.09
-95.0,-96.22
-94.72,-97.2
-90.48,-97.22
-89.87,-97.27
-92.33,-96.44
-91.87,-96.67
-92.0,-97.74
-92.9,-97.55
-91.37,-96.76
-87.97,-96.6
-90.92,-95.56
-90.22,-93.13
-88.44,-87.14
-86.16,-80.77
-78.27,-74.87
-82.18,-68.89
-91.84,-70.17
-90.0,-67.18
-83.76,-81.16
-91.24,-90.46
-97.47,-93.73
-99.85,-94.26
-97.4,-95.64
-99.19,-97.11
-98.1,-98.7
-98.33,-98.48
-98.8,-99.23
-100.7,-100.11
-100.92,-101.77
-104.25,-101.71
-104.26,-103.93
-106.11,-102.63
-107.8,-105.27
-107.72,-106.93
-109.45,-106.93
-109.28,-107.97
-110.25,-107.96
-108.9,-109.27
-109.39,-106.93
-108.6,-107.27
-109.11,-109.48
-109.3,-109.53
-109.61,-110.11
-111.45,-111.1
-112.72,-111.04
-113.61,-111.23
-114.06,-113.44
-113.85,-115.53
-113.22,-113.74
-113.55,-112.67
-112.72,-112.93
-113.65,-112.5
-113.56,-113.0
-112.8,-113.83
-114.39,-113.19
-115.1,-113.93
-115.22,-115.97
-116.6,-115.43
-116.15,-115.8
-116.83,-116.17
-116.7,-115.15
-115.5,-115.83
-116.35,-115.75
-115.79,-117.59
-117.74,-117.81
-117.67,-118.94
-117.28,-118.24
-116.73,-116.47
-117.11,-115.91
-116.89,-116.07
-116.88,-115.5
-116.69,-115.52
-116.6,-116.38
-119.53,-114.44
-117.67,-116.6
-119.41,-117.0
-119.19,-117.75
-118.62,-118.1
-119.1,-118.61
-119.9,-117.55
-119.22,-118.33
-120.15,-118.7
-120.61,-120.12
-120.05,-119.89
-121.19,-120.72
-122.67,-120.11
-121.69,-119.44
-121.53,-121.5
-120.61,-120.72
-120.76,-119.67
-119.3,-120.74
-121.0,-121.63
-119.68,-121.56
-118.74,-122.54
-120.19,-122.69
-118.07,-123.0
-118.25,-122.22
-117.73,-120.4
-117.67,-119.39
-116.9,-121.5
-117.16,-120.36
-117.0,-121.64
-116.5,-121.5
-118.29,-123.0
,-123.5
-118.89,-124.0
-118.5,
-120.55,-124.0
-121.75,-126.0
-123.0,-123.4
-122.21,-124.14
-121.75,-125.33
-122.14,-125.2
-121.53,-125.83
-122.55,-126.33
-120.91,-127.38
-121.53,-127.7
-121.11,-126.89
-123.15,-127.75
-123.55,-127.8
-124.78,-130.0
-125.95,
-123.61,
-122.1,
-121.11,
-119.9,-124.83
-118.33,-126.0
-118.0,
-118.3,
-117.4,
-115.48,
-115.27,
-115.7,
-116.1,
-116.37,
-117.1,
-117.74,
-120.03,
-120.96,
-120.47,
-120.77,
-120.78,
-121.07,
-121.15,
-118.57,
-119.11,
-117.4,
-118.3,
-119.5,
-117.04,
-117.73,
-117.52,
-118.93,
-118.74,
-119.77,
-119.89,
-120.1,
-119.59,
-120.2,
-120.43,
-120.19,
-122.73,
-121.67,
-122.27,
-120.0,
-119.6,
-120.81,
-120.93,
-119.04,
-119.57,
-119.52,
-119.83,
-118.63,
-119.47,
-119.81,
-119.8,
-122.44,
-121.93,
-121.67,
-121.0,
-122.03,
-121.59,
-121.73,
-120.41,
-120.53,
-120.41,
-120.27,
-120.63,
-120.53,
-120.63,
-120.57,
-120.22,
-119.9,
-120.48,
-120.93,
-120.07,
-120.6,
-119.67,
-120.0,
-119.57,
-119.59,
-119.2,
-119.26,
-120.33,
-119.7,
-120.77,
-119.85,
-119.3,
-119.44,
-119.0,
-119.52,
-119.9,
-119.7,
-118.93,
-120.11,
-120.5,
-121.37,
-119.9,
-120.26,
-120.63,
-119.97,
-120.19,
-119.5,
-118.93,
-120.63,
-120.22,
-117.57,
-116.11,
-118.1,
-118.52,
-118.7,
-119.26,
-120.97,
-120.37,
-119.33,
-119.63,
-120.43,
-121.33,
-121.43,
-120.7,
-120.77,
-120.04,
-120.57,
-120.1,
-119.74,
-119.2,
-119.37,
-118.97,
-119.33,
-121.4,
-124.37,
-121.0,-119.8
-119.67,-116.71
-119.67,
-120.41,
-120.92,
-121.22,
-121.08,
-121.61,
-121.1,
-121.06,
-120.25,
-118.92,-118.75
-119.15,-119.5
-120.61,-121.0
-123.2,
-123.65,
-125.0,
-124.15,
-124.78,
-124.87,
-124.53,
-121.62,
-121.92,
-123.82,
-123.78,
-123.2,
-121.92,
-121.92,
-122.0,
-124.55,
-121.19,
-120.75,
-120.94,
-121.88,
-119.22,
-120.48,
-122.33,
-122.08,
-123.45,
-125.47,
-125.48,
-127.61,
-127.5,
-127.86,
-128.32,
-127.57,
-127.0,
-125.61,
-126.5,
