PC2,PC3
6.8,7.2
9.5,9.6
13.3,11.7
18.0,11.1
17.4,14.8
16.5,18.7
17.1,18.7
16.2,16.1
18.2,16.5
15.2,18.0
17.0,14.0
16.8,15.5
14.7,16.4
15.6,14.5
13.2,14.5
10.9,11.8
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
22.0,22.0
22.0,22.0
26.0,22.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
20.8,26.0
15.9,24.2
22.0,26.0
22.0,25.5
22.0,26.0
22.0,26.0
22.4,25.4
23.4,26.0
24.0,25.4
22.0,26.0
22.0,26.0
22.0,24.4
22.0,26.0
22.0,25.1
22.0,26.0
22.0,26.0
22.0,25.1
22.0,26.0
22.8,25.4
22.0,25.4
22.0,26.0
26.0,26.0
25.6,25.2
26.0,24.5
24.8,25.5
25.0,23.8
25.8,26.0
24.0,23.5
