Device,MO DUT,MT DUT,MO REF,MT REF
1,-72.0,-71.0,-74.0,-65.0
2,-72.0,-71.0,-74.0,-65.0
3,-72.0,-71.0,-74.0,-65.0
4,-72.0,-71.0,-73.0,-65.0
5,-73.0,-71.0,-73.0,-65.0
6,-73.0,-71.0,-72.0,-65.0
7,-73.0,-70.0,-72.0,-65.0
8,-72.0,-70.0,-73.0,-65.0
9,-72.0,-70.0,-73.0,-65.0
10,-72.0,-69.0,-72.0,-65.0
11,-71.0,-69.0,-72.0,-65.0
12,-71.0,-69.5,-71.0,-63.0
13,-71.0,-70.0,-71.0,-63.0
14,-72.0,-70.0,-70.0,-63.0
15,-72.0,-70.0,-70.5,-64.0
16,-72.0,-70.0,-71.0,-64.0
17,-72.0,-70.0,-71.0,-64.0
18,-72.0,-70.0,-71.0,-66.0
19,-72.0,-71.0,-70.5,-66.0
20,-73.0,-71.0,-70.0,-66.0
21,-73.0,-70.0,-70.5,-63.0
22,-73.0,-70.0,-71.0,-63.0
23,-74.0,-70.0,-71.5,-63.0
24,-74.0,-70.0,-72.0,-63.0
25,-74.0,-70.0,-71.5,-63.0
26,-74.0,-70.0,-71.0,-63.0
27,-74.0,-70.0,-70.5,-63.0
28,-74.0,-70.0,-70.0,-63.0
29,-73.0,-70.0,-70.0,-63.0
30,-73.0,-70.0,-70.0,-63.0
31,-73.0,-70.0,-70.0,-63.0
32,-73.0,-70.5,-70.0,-63.0
33,-73.0,-71.0,-70.0,-63.0
34,-73.0,-71.0,-70.0,-63.0
35,-73.0,-70.0,-70.0,-63.0
36,-73.0,-70.0,-70.0,-64.0
37,-73.0,-70.0,-70.0,-64.0
38,-73.0,-70.0,-70.0,-64.0
39,-73.0,-71.0,-70.0,-63.0
40,-73.0,-71.0,-70.0,-63.0
41,-73.0,-71.0,-70.0,-63.0
42,-73.0,-71.0,-70.0,-66.0
43,-72.0,-71.0,-70.0,-66.0
44,-72.0,-71.0,-70.0,-66.0
45,-73.0,-71.0,-70.0,-66.0
46,-73.0,-71.0,-70.0,-66.0
47,-73.0,-71.0,-70.0,-66.0
48,-73.0,-71.0,-70.0,-64.0
49,-73.0,-71.0,-70.0,-64.0
50,-74.0,-71.0,-70.0,-64.0
51,-74.0,-71.0,-70.0,-64.0
52,-74.0,-71.0,-70.0,-64.0
53,-73.0,-71.0,-70.0,-64.0
54,-73.0,-71.0,-70.0,-64.0
55,-73.0,-71.0,-70.0,-64.0
56,-73.0,-71.0,-70.0,-64.0
57,-73.0,-71.0,-70.0,-63.0
58,-73.0,-71.0,-70.0,-63.0
59,-73.0,-71.0,-70.0,-63.0
60,-72.5,-71.0,-70.0,-64.0
61,-72.0,-71.0,-70.0,-64.0
62,-72.5,-71.0,-70.0,-64.0
63,-73.0,-71.0,-70.0,-64.0
64,-73.0,-71.0,-70.0,-64.0
65,-73.0,-71.0,-70.0,-64.0
66,-72.0,-71.0,-70.0,-63.0
67,-72.5,-71.0,-70.0,-63.0
68,-73.0,-71.0,-71.5,-63.0
69,-73.0,-71.0,-73.0,-64.0
70,-73.0,-71.0,-73.0,-64.0
71,-74.0,-71.0,-73.0,-64.0
72,-73.5,-71.0,-73.0,-66.0
73,-73.0,-71.0,-73.0,-66.0
74,-71.0,-71.0,-72.5,-66.0
75,-71.0,-71.0,-72.0,-66.0
76,-72.0,-71.0,-72.0,-66.0
77,-72.0,-71.0,-72.0,-66.0
78,-71.0,-71.0,-74.0,-65.0
79,-71.0,-71.0,-74.0,-65.0
80,-72.0,-69.0,-76.0,-65.0
81,-72.0,-69.0,-76.0,-66.0
82,-71.0,-69.0,-74.0,-66.0
83,-71.0,-69.0,-74.0,-66.0
84,-71.0,-69.0,-73.0,-67.0
85,-71.0,-69.0,-73.0,-67.0
86,-71.0,-69.0,-73.0,-67.0
87,-71.0,-69.0,-73.0,-67.0
88,-71.0,-69.0,-73.0,-67.0
89,-71.0,-69.0,-73.0,-67.0
90,-71.0,-69.0,-72.0,-67.0
91,-71.0,-69.0,-72.0,-67.0
92,-73.0,-69.0,-71.0,-67.0
93,-73.0,-69.0,-71.0,-67.0
94,-73.0,-69.0,-69.0,-67.0
95,-72.0,-68.0,-69.0,-68.0
96,-72.0,-68.0,-69.0,-68.0
97,-71.0,-68.0,-68.5,-68.0
98,-71.0,-69.0,-68.0,-66.0
99,-71.0,-69.0,-68.0,-66.0
100,-71.0,-69.0,-68.0,-66.0
101,-71.0,-69.0,-68.0,-66.0
102,-71.0,-69.0,-68.0,-66.0
103,-72.0,-69.0,-68.0,-66.5
104,-72.0,-68.0,-68.0,-67.0
105,-72.0,-68.0,-68.0,-67.0
106,-72.0,-68.0,-68.0,-67.0
107,-72.0,-68.0,-69.0,-67.0
108,-72.0,-68.0,-69.0,-67.0
109,-71.0,-68.0,-69.0,-67.0
110,-71.0,-68.0,-69.0,-67.0
111,-71.0,-68.0,-69.0,-67.0
112,-71.0,-68.0,-69.0,-67.0
113,-71.0,-68.0,-69.0,-67.0
114,-72.0,-68.0,-69.0,-67.0
115,-72.0,-68.0,-69.0,-67.0
116,-72.0,-68.0,-69.0,-67.0
117,-73.0,-68.0,-69.0,-67.0
118,-73.0,-68.0,-69.0,-67.0
119,-73.0,-68.0,-69.0,-67.0
120,-72.0,-68.0,-69.0,-67.0
121,-72.0,-68.0,-69.0,-67.0
122,-72.0,-68.0,-69.0,-67.0
123,-72.0,-68.0,-69.0,-67.0
124,-72.0,-68.0,-69.0,-67.0
125,-72.0,-68.0,-69.0,-67.0
126,-72.0,-68.0,-69.0,-66.0
127,-72.0,-68.0,-69.0,-66.0
128,-72.0,-68.0,-69.0,-66.0
129,-72.0,-68.0,-69.0,-67.0
