Device,DUT,REF
1,-64.0,-70.0
2,-64.0,-70.0
3,-64.0,-71.0
4,-62.0,-71.0
5,-62.0,-71.0
6,-62.0,-72.0
7,-64.0,-72.0
8,-64.0,-72.0
9,-64.0,-73.0
10,-68.0,-73.0
11,-68.0,-73.0
12,-68.0,-76.0
13,-67.0,-76.0
14,-67.0,-76.0
15,-65.0,-76.0
16,-65.0,-76.0
17,-61.0,-76.0
18,-61.0,-76.0
19,-61.0,-76.0
20,-64.0,-72.0
21,-64.0,-72.0
22,-62.0,-72.0
23,-62.0,-68.0
24,-62.0,-68.0
25,-61.0,-68.0
26,-61.0,-68.0
27,-61.0,-68.0
28,-61.0,-68.0
29,-61.0,-68.0
30,-61.0,-68.0
31,-61.0,-68.0
32,-61.0,-70.0
33,-61.0,-70.0
34,-57.0,-70.0
35,-57.0,-65.0
36,-57.0,-65.0
37,-57.0,-65.0
38,-57.0,-66.0
39,-57.0,-66.0
40,-52.0,-66.0
41,-52.0,-69.0
42,-52.0,-69.0
43,-54.0,-69.0
44,-54.0,-66.0
45,-54.0,-66.0
46,-50.0,-66.0
47,-50.0,-65.0
48,-50.0,-65.0
49,-53.0,-65.0
50,-53.0,-64.0
51,-53.0,-64.0
52,-55.0,-68.0
53,-55.0,-68.0
54,-55.0,-68.0
55,-53.0,-65.0
56,-53.0,-65.0
57,-53.0,-65.0
58,-53.0,-63.0
59,-53.0,-63.0
60,-53.0,-63.0
61,-58.0,-59.0
62,-58.0,-59.0
63,-58.0,-59.0
64,-52.0,-61.0
65,-52.0,-61.0
66,-52.0,-61.0
67,-49.0,-61.0
68,-49.0,-61.0
69,-49.0,-61.0
70,-53.0,-61.0
71,-53.0,-61.0
72,-53.0,-61.0
73,-53.0,-60.0
74,-53.0,-60.0
75,-53.0,-60.0
76,-51.0,-60.0
77,-51.0,-60.0
78,-51.0,-60.0
79,-50.0,-59.0
80,-50.0,-59.0
81,-50.0,-59.0
82,-52.0,-58.0
83,-52.0,-57.0
84,-52.0,-57.0
85,-52.0,-57.0
86,-52.0,-55.0
87,-51.0,-55.0
88,-51.0,-55.0
89,-51.0,-56.0
90,-53.0,-56.0
91,-53.0,-56.0
92,-53.0,-57.0
93,-51.0,-57.0
94,-51.0,-57.0
95,-51.0,-58.0
96,-52.0,-58.0
97,-52.0,-58.0
98,-51.0,-63.0
99,-50.0,-63.0
100,-50.0,-63.0
101,-51.0,-64.0
102,-51.0,-64.0
103,-51.0,-64.0
104,-54.0,-62.0
105,-54.0,-62.0
106,-54.0,-62.0
107,-53.0,-59.0
108,-53.0,-59.0
109,-53.0,-59.0
110,-52.0,-58.0
111,-52.0,-58.0
112,-52.0,-58.0
113,-53.0,-58.0
114,-53.0,-58.0
115,-53.0,-59.0
116,-55.0,-59.0
117,-55.0,-59.0
118,-55.0,-59.0
119,-48.0,-59.0
120,-48.0,-59.0
121,-48.0,-58.0
122,-51.0,-58.0
123,-51.0,-58.0
124,-51.0,-60.0
125,-51.0,-60.0
126,-51.0,-60.0
127,-51.0,-57.0
128,-52.0,-57.0
129,-52.0,-57.0
130,-52.0,-56.0
131,-50.0,-56.0
132,-50.0,-56.0
133,-50.0,-60.0
134,-50.0,-60.0
135,-50.0,-60.0
136,-50.0,-61.0
137,-54.0,-61.0
138,-54.0,-61.0
139,-54.0,-57.0
140,-54.0,-57.0
141,-54.0,-57.0
142,-54.0,-61.0
143,-49.0,-61.0
144,-49.0,-61.0
145,-49.0,-62.0
146,-51.0,-62.0
147,-51.0,-62.0
148,-51.0,-62.0
149,-53.0,-63.0
150,-53.0,-63.0
151,-53.0,-63.0
152,-50.0,-59.0
153,-50.0,-59.0
154,-47.0,-59.0
155,-47.0,-58.0
156,-47.0,-58.0
157,-52.0,-58.0
158,-52.0,-57.0
159,-52.0,-57.0
160,-50.0,-57.0
161,-50.0,-57.0
162,-50.0,-57.0
163,-50.0,-57.0
164,-50.0,-55.0
165,-50.0,-55.0
166,-51.0,-55.0
167,-51.0,-55.0
168,-51.0,-55.0
169,-53.0,-55.0
170,-53.0,-56.0
171,-53.0,-56.0
172,-50.0,-56.0
173,-50.0,-56.0
174,-51.0,-56.0
175,-51.0,-56.0
176,-51.0,-57.0
177,-56.0,-57.0
178,-56.0,-57.0
179,-56.0,-58.0
180,-55.0,-60.0
181,-55.0,-60.0
182,-55.0,-60.0
183,-54.0,-64.0
184,-54.0,-64.0
185,-54.0,-64.0
186,-52.0,-64.0
187,-52.0,-64.0
188,-52.0,-64.0
189,-54.0,-61.0
190,-54.0,-61.0
191,-54.0,-61.0
192,-55.0,-61.0
193,-55.0,-61.0
194,-55.0,-61.0
195,-55.0,-61.0
196,-55.0,-61.0
197,-55.0,-61.0
198,-54.0,-60.0
199,-54.0,-60.0
200,-54.0,-60.0
201,-54.0,-61.0
202,-54.0,-61.0
203,-54.0,-61.0
204,-54.0,-61.0
205,-54.0,-61.0
206,-54.0,-61.0
207,-53.0,-61.0
208,-53.0,-61.0
209,-53.0,-61.0
210,-54.0,-63.0
211,-54.0,-63.0
212,-54.0,-63.0
213,-52.0,-63.0
214,-52.0,-63.0
215,-52.0,-63.0
216,-57.0,-63.0
217,-57.0,-63.0
218,-57.0,-63.0
219,-57.0,-63.0
220,-57.0,-63.0
221,-56.0,-63.0
222,-56.0,-63.0
223,-56.0,-64.0
224,-56.0,-64.5
225,-56.0,-65.0
226,-56.0,-65.0
227,-58.0,-68.0
228,-58.0,-68.0
229,-58.0,-67.0
230,-56.0,-67.0
231,-56.0,-63.0
232,-56.0,-63.0
233,-57.0,-63.0
234,-57.0,-63.0
235,-57.0,-63.0
236,-57.0,-63.0
237,-57.0,-62.0
238,-57.0,-62.0
239,-58.0,-60.0
240,-58.0,-60.0
241,-58.0,-59.5
242,-59.0,-59.0
243,-59.0,-59.0
244,-59.0,-59.0
245,-56.0,-60.0
246,-56.0,-60.0
247,-56.0,-60.0
248,-59.0,-63.0
249,-59.0,-63.0
250,-59.0,-63.0
251,-59.0,-68.0
252,-59.0,-68.0
253,-59.0,-68.0
254,-60.0,-68.0
255,-60.0,-68.0
256,-60.0,-68.0
257,-63.0,-68.0
258,-63.0,-68.0
259,-63.0,-71.0
260,-69.0,-71.0
261,-69.0,-71.0
262,-69.0,-70.0
263,-67.0,-70.0
264,-64.0,-70.0
265,-64.0,-68.0
266,-64.0,-68.5
267,-63.0,-69.0
268,-63.0,-67.0
269,-63.0,-67.0
270,-64.0,-67.0
271,-64.0,-68.0
272,-64.0,-68.0
273,-66.0,-78.0
274,-66.0,-78.0
275,-66.0,-78.0
276,-66.0,-78.0
277,-66.0,-78.0
278,-66.0,-78.0
279,-63.0,-78.0
280,-63.0,-78.0
281,-63.0,-78.0
282,-60.0,-78.0
283,-60.0,-78.0
284,-60.0,-78.0
285,-63.0,-78.0
286,-63.0,-78.0
287,-63.0,-78.0
288,-60.0,-78.0
289,-60.0,-78.0
290,-60.0,-78.0
291,-63.0,-81.0
292,-63.0,-81.0
293,-63.0,-81.0
294,-63.0,-78.0
295,-63.0,-78.0
296,-60.0,-78.0
297,-60.0,-79.0
298,-60.0,-79.0
299,-61.0,-79.0
300,-61.0,-78.0
301,-61.0,-78.0
302,-60.0,-78.0
303,-60.0,-74.0
304,-60.0,-74.0
305,-60.0,-74.0
306,-60.0,-72.0
307,-60.0,-72.0
308,-60.0,-72.0
309,-60.0,-69.0
310,-60.0,-69.0
311,-59.0,-69.0
312,-59.0,-69.0
313,-59.0,-69.0
314,-61.0,-69.0
315,-61.0,-69.0
316,-61.0,-69.0
317,-59.0,-69.0
318,-59.0,-70.0
319,-58.0,-70.0
320,-58.0,-70.0
321,-58.0,-73.0
322,-61.0,-73.0
323,-61.0,-76.0
324,-61.0,-76.0
325,-61.0,-76.0
326,-61.0,-73.0
327,-61.0,-73.0
328,-60.0,-73.0
329,-60.0,-73.0
330,-60.0,-73.0
331,-62.0,-73.0
332,-62.0,-68.0
333,-62.0,-68.0
334,-58.0,-68.0
335,-58.0,-66.0
336,-58.0,-66.0
337,-53.0,-66.0
338,-53.0,-66.0
339,-53.0,-66.0
340,-62.0,-66.0
341,-62.0,-66.0
342,-62.0,-66.0
343,-60.0,-66.0
344,-60.0,-68.0
345,-60.0,-68.0
346,-60.0,-68.0
347,-60.0,-65.0
348,-60.0,-65.0
349,-58.0,-65.0
350,-58.0,-64.0
351,-58.0,-64.0
352,-54.0,-64.0
353,-54.0,-69.0
354,-54.0,-69.0
355,-56.0,-69.0
356,-56.0,-69.0
357,-56.0,-69.0
358,-57.0,-69.0
359,-57.0,-69.0
360,-56.0,-69.0
361,-55.0,-69.0
362,-56.0,-69.0
363,-56.0,-69.0
364,-56.0,-69.0
365,-60.0,-69.0
366,-60.0,-69.0
367,-60.0,-69.0
368,-55.0,-69.0
369,-55.0,-69.0
370,-55.0,-69.0
371,-55.0,-69.0
372,-55.0,-69.0
373,-55.0,-69.0
374,-54.0,-69.0
375,-54.0,-69.0
376,-54.0,-69.0
377,-55.0,-69.0
378,-55.0,-69.0
379,-55.0,-69.0
380,-57.0,-69.0
