PC2,PC3
-65.88,-72.0
-68.98,-71.68
-70.88,-71.45
-74.03,-70.58
-76.38,-72.57
-75.53,-73.52
-76.21,-73.0
-75.76,-72.91
-75.86,-72.78
-76.07,-73.07
-75.55,-74.71
-75.22,-72.83
-75.52,-73.32
-75.99,-73.64
-78.94,-73.53
-80.13,-74.29
-76.67,-73.57
-76.95,-73.3
-78.53,-73.79
-77.58,-73.86
-76.68,-73.15
-78.47,-73.67
-79.09,-79.34
-78.7,-76.07
-77.07,-77.94
-80.39,-81.67
-76.86,-79.28
-81.0,-79.64
-77.9,-80.61
-78.47,-75.51
-70.91,-71.04
-73.76,-75.37
-73.27,-73.33
-77.05,-69.74
-73.5,-73.34
-75.33,-74.47
-77.07,-75.81
-79.1,-74.74
-77.69,-79.44
-78.56,-79.19
-79.16,-78.59
-81.4,-74.17
-78.44,-74.92
-77.0,-73.97
-77.72,-75.4
-77.98,-77.63
-79.72,-79.3
-79.1,-80.62
-79.18,-78.6
-77.7,-78.3
-76.35,-80.65
-78.73,-80.13
-78.1,-74.72
-82.8,-75.57
-79.41,-76.5
-78.93,-77.49
-76.53,-78.21
-76.35,-75.66
-77.49,-74.09
-78.25,-72.93
-76.48,-75.85
-78.32,-77.6
-78.06,-75.26
-76.62,-75.2
-76.7,-74.61
-76.3,-74.91
-78.09,-74.17
-78.35,-73.01
-75.43,-76.76
-75.44,-78.94
-75.4,-79.66
-76.48,-74.24
-75.98,-73.4
-75.32,-75.16
-75.42,-77.01
-74.26,-77.07
-73.64,-76.84
-74.31,-76.67
-76.27,-77.47
-94.95,-94.81
,-93.55
,-76.59
-75.15,-74.62
-75.3,-74.81
-76.1,-76.03
-75.78,-76.96
-75.69,-76.14
-76.0,-74.6
-76.86,-74.75
-77.26,-74.19
-76.87,-74.75
-77.16,-75.09
-77.58,-74.59
-78.05,-74.01
-77.82,-74.39
-77.53,-74.33
-77.88,-74.59
-77.88,-74.44
-77.59,-74.89
-77.61,-75.47
-77.65,-75.16
-77.49,-74.16
-77.5,-74.25
,-73.81
,-73.75
-77.12,-73.68
-77.77,-74.59
-77.47,-74.36
-76.04,-75.22
-76.54,-76.4
-78.37,-75.25
-78.35,-76.08
-78.07,-76.72
-75.3,-76.28
-73.55,-75.79
-76.26,-80.15
-75.76,-79.03
-73.96,-79.12
-77.17,-81.39
-79.42,-80.36
-80.34,-81.02
-79.12,-81.1
-82.9,-83.04
-82.8,-83.77
-82.98,-84.67
-81.7,-85.02
-83.91,-86.58
-83.97,-86.89
-84.95,-86.92
-83.19,-83.84
-81.68,-86.71
-83.79,-84.62
-81.84,-81.77
-78.98,-81.63
-80.74,-84.94
-82.8,-84.32
-82.3,-84.82
-82.39,-85.74
-84.36,-86.08
-85.32,-86.24
-80.9,-86.41
-81.25,-85.59
-80.73,-85.75
-82.11,-87.5
-82.8,-85.8
-80.31,-83.0
-81.63,-85.76
-81.83,-86.23
-82.3,-83.37
-81.42,-83.29
-82.36,-84.6
-82.2,-84.99
-84.28,-86.54
-84.19,-86.11
-83.9,-85.12
-84.3,-86.5
-84.3,-85.46
-84.89,-83.98
-86.52,-85.83
-88.16,-87.4
-89.15,-88.84
-89.16,-88.33
-88.49,-88.77
-91.68,-87.93
-86.44,-86.98
-86.59,-88.93
-86.91,-90.1
-84.04,-89.91
-84.01,-89.58
-85.2,-89.66
-86.23,-90.23
-86.12,-90.44
-87.55,-91.5
-88.93,
,-89.57
-88.6,
,-89.27
-86.48,-88.12
-86.14,-87.51
-87.17,-87.82
-87.41,-87.94
-88.01,-88.84
-88.45,-88.31
-87.6,-87.9
-87.48,-86.89
-86.86,-87.4
-85.57,-87.08
-85.69,-88.27
-87.34,-89.2
-88.48,-90.21
-89.01,-90.48
-88.9,-90.34
-88.27,-88.72
-88.29,-89.62
-85.65,-87.89
-84.45,-89.36
-86.91,-87.8
-85.84,-88.88
-85.18,-85.69
-84.27,-86.69
-79.34,-81.12
-81.06,-86.99
-87.17,-92.81
-87.91,-91.45
-86.58,-91.16
-87.51,-92.12
-89.07,-90.82
-88.47,-92.87
-86.58,-91.18
-85.92,-89.41
-87.5,-91.37
-88.07,-92.17
-88.21,-92.7
-87.26,-91.06
-86.21,-92.39
-87.26,-93.43
-88.87,-92.95
-87.77,-89.81
-87.18,-88.95
-88.11,-88.6
-87.66,-89.63
-86.19,-88.37
-85.31,-89.33
-83.2,-87.49
-82.26,-83.4
-83.19,-81.93
-82.68,-80.72
-85.52,-83.63
-86.36,-84.33
-86.3,-83.12
-86.13,-82.02
-89.32,-85.29
-86.95,-86.09
-86.34,-84.73
-86.23,-85.52
-87.74,-86.54
-88.8,-87.74
-90.76,-91.09
-93.07,-92.27
-90.78,-92.38
-94.73,-93.97
-96.1,-99.02
-96.27,-97.58
-95.72,-100.05
-94.64,-99.74
-97.67,-96.37
-100.84,-95.93
-99.93,-98.78
-101.4,-98.46
-102.67,-99.39
-102.61,-99.58
-103.19,-101.31
-102.31,-101.96
-100.79,-102.62
-100.37,-103.93
-100.55,-102.65
-103.96,-101.28
-104.29,-100.36
-104.63,-98.97
-102.35,-101.85
-101.89,-101.05
-107.09,-101.67
-107.59,-106.04
-107.06,-107.89
-105.52,-107.22
-101.84,-104.52
-102.06,-102.14
-103.75,-101.84
-106.06,-102.5
-106.93,-101.37
-109.7,-101.89
-108.19,-100.98
-108.91,-102.3
-108.58,-101.64
-114.55,-108.85
-115.69,-112.05
-110.31,-106.78
-105.15,
-104.58,
-120.85,
-130.09,
-125.45,
-120.62,
