PC2,PC3
2.0,3.4
1.5,5.1
0.1,2.6
3.2,5.1
-3.0,-2.9
-3.0,-4.6
-0.7,-2.2
-3.2,-2.0
-4.0,-2.7
-3.1,-0.4
2.5,1.6
2.9,5.2
2.3,3.1
3.2,4.3
2.5,4.2
9.4,8.8
5.1,6.7
5.5,4.2
7.7,8.1
8.3,7.6
7.8,9.4
6.3,7.6
6.8,8.4
4.2,4.8
2.8,2.8
2.1,8.5
4.2,2.1
3.8,3.4
6.2,9.5
6.2,6.9
7.1,7.2
15.2,8.3
8.4,6.3
9.8,11.5
19.6,16.5
18.9,16.4
15.5,16.5
16.2,17.6
15.0,17.6
17.5,17.5
19.5,17.6
20.1,17.4
20.0,17.4
20.2,17.5
20.3,17.8
20.3,17.9
19.8,18.1
12.0,14.2
12.3,11.0
14.4,13.0
14.4,14.1
14.6,14.0
13.7,13.3
18.9,17.5
17.5,15.6
20.4,17.5
20.4,17.7
20.3,17.9
19.6,18.4
20.1,18.4
20.4,18.3
20.0,17.5
20.3,18.0
20.4,17.9
20.3,17.8
19.9,17.8
19.1,16.3
18.7,16.1
15.9,15.6
13.8,10.9
17.4,14.3
16.4,14.1
19.0,12.5
22.8,14.9
20.6,17.7
21.3,17.6
22.5,18.9
23.1,20.4
22.8,20.6
22.8,20.8
23.0,20.8
23.1,20.7
23.1,20.9
23.3,20.5
22.9,20.7
23.0,20.6
23.0,20.4
22.7,20.4
22.7,19.4
22.1,20.2
22.5,20.2
23.1,20.4
23.0,20.5
21.8,18.4
23.1,20.1
22.6,20.2
22.0,18.1
22.8,19.0
23.1,19.5
23.0,20.4
23.1,20.0
22.9,20.6
22.3,20.5
22.3,20.6
22.8,20.8
22.9,20.2
23.1,20.5
22.4,19.7
22.2,19.4
23.0,20.3
22.0,19.6
22.3,20.0
21.8,18.9
22.1,19.4
20.1,20.4
22.9,20.4
22.4,20.5
20.7,20.5
21.4,20.3
23.0,20.3
23.1,20.6
23.1,20.5
23.3,20.6
23.1,20.5
23.2,20.6
23.7,21.1
23.8,21.1
23.8,21.3
23.7,21.2
23.7,21.1
23.7,21.1
23.7,21.1
23.7,21.1
23.7,21.1
23.7,21.1
23.7,21.2
23.7,21.1
23.7,21.1
23.7,21.1
23.6,21.1
23.2,20.7
23.9,20.9
23.9,21.9
24.6,21.9
24.6,22.0
24.6,21.9
24.6,22.0
24.6,22.1
24.2,22.0
23.7,21.6
24.1,21.6
24.0,21.7
23.8,21.3
23.9,21.2
23.8,21.2
23.8,21.3
23.7,21.1
23.7,21.1
23.8,21.2
24.1,21.3
23.9,21.5
24.3,22.1
24.5,22.2
23.7,21.5
23.5,21.5
22.6,21.4
23.6,22.0
24.5,21.9
24.4,22.0
24.5,22.1
24.6,22.0
24.6,22.0
24.7,22.0
