PC2,PC3
-70.74,-70.31
-72.43,-71.39
-72.79,-70.27
-71.23,-65.65
-75.15,-65.1
-68.18,-72.2
-69.39,-71.26
-68.56,-70.38
-68.11,-67.85
-70.75,-70.79
-70.54,-71.33
-72.2,-72.26
-74.22,-73.6
-73.36,-73.46
-74.82,-72.43
-75.45,-73.03
-72.26,-71.84
-71.47,-70.93
-71.53,-71.03
-73.25,-71.04
-74.04,-71.0
-74.31,-70.83
-73.27,-71.12
-72.7,-71.54
-73.54,-71.62
-73.66,-70.66
-73.29,-71.54
-75.82,-72.28
-74.49,-73.59
-73.42,-72.66
-75.51,-74.8
-81.34,-74.5
-78.55,-79.91
-71.71,-76.57
-76.67,-79.67
-78.24,-81.15
-76.98,-78.54
-75.1,-76.09
-75.55,-73.17
-72.62,-73.45
-73.2,-73.75
-73.46,-76.44
-74.86,-72.38
-72.79,-72.23
-74.61,-74.34
-73.83,-71.47
-76.29,-77.69
-81.79,-74.26
-81.01,-82.75
-81.48,-79.15
-79.74,-75.2
-76.58,-76.98
-79.75,-76.33
-83.41,-77.73
-77.45,-80.73
-75.66,-78.74
-77.64,-76.81
-75.72,-77.86
-77.74,-78.32
-78.64,-79.77
-77.74,-79.31
-75.75,-81.1
-74.85,-80.2
-75.08,-82.16
-76.44,-83.2
-78.94,-80.82
-77.29,-80.06
-79.44,-80.95
-82.14,-79.92
-77.97,-81.89
-77.49,-79.16
-82.07,-79.76
-84.85,-82.89
-88.13,-84.44
-83.54,-86.27
-81.62,-83.33
-83.69,-81.38
-81.92,-80.38
-80.97,-80.78
-83.27,-81.81
-83.3,-82.9
-82.3,-82.91
-84.6,-82.53
-85.55,-86.34
-83.1,-84.91
-81.96,-82.1
-84.72,-83.41
-84.4,-85.62
-84.92,-87.51
-84.71,-87.01
-84.38,-87.58
-81.8,-86.73
-82.03,-84.48
-85.04,-86.33
-84.75,-87.44
-84.56,-85.61
-84.81,-87.22
-84.35,-86.32
-85.14,-85.29
-84.25,-83.96
-81.85,-85.04
-81.61,-84.13
-80.57,-91.16
-79.65,
-79.68,-91.16
-77.7,-85.18
-78.33,-80.46
-77.89,-84.07
-79.14,-84.97
-79.46,-85.0
-80.19,-87.01
-85.21,-86.96
-82.4,-87.54
-82.41,-81.56
-80.93,-84.31
-77.99,-85.04
-79.46,-80.55
-79.73,-82.32
-80.64,-83.23
-81.55,-82.75
-81.45,-83.47
-82.54,-84.96
-82.55,-83.56
-82.23,-82.82
-84.27,-83.09
-85.93,-85.71
-86.14,-90.2
-87.19,-89.42
-90.49,-90.47
-87.84,-90.41
-90.44,-90.1
-93.11,-91.36
-93.37,-95.39
-94.3,-91.69
-92.81,-90.21
-94.38,-96.94
-95.67,-96.74
-94.33,-97.65
-96.51,-94.77
-95.71,-98.29
-97.86,-95.11
-95.33,-94.64
-99.52,-93.16
-101.15,-98.93
-101.58,-100.64
-101.72,-99.85
-100.73,-99.01
-103.61,-99.39
-100.1,-100.73
-96.21,-98.45
-98.45,-97.95
-101.21,-98.31
-98.18,-98.91
-96.12,-100.15
-96.8,-100.37
-98.99,-100.82
-101.56,-97.81
-100.67,-96.57
-103.54,-100.43
-101.88,-103.68
-100.88,-99.83
-101.42,-99.46
-102.38,-101.08
-101.25,-96.21
-103.31,-93.77
-102.61,-93.87
-102.69,-96.42
-101.31,-105.75
-102.59,-108.05
-103.29,-101.05
-100.71,-96.52
-103.64,-93.84
-106.41,-95.5
-102.05,-96.91
-105.47,-98.95
-106.18,-104.23
-108.51,-103.98
-107.53,-108.54
-105.48,-104.04
-103.08,-103.43
-103.65,-98.69
-103.25,-98.65
-105.79,-99.43
-104.91,-100.88
-104.85,-103.4
-105.61,-100.42
-110.18,-101.58
-102.75,-116.77
-101.23,-103.23
-104.39,-101.54
-118.05,-107.83
-123.52,-115.47
,-130.19
,-109.74
,-138.36
,-121.41
