DUT,REF
-72.0,-81.0
-73.0,-80.0
-74.0,-80.0
-75.83,-80.12
-76.67,-81.29
-77.67,-81.25
-76.4,-81.5
-78.0,-80.25
-74.25,-79.8
-72.5,-80.13
-73.5,-78.16
-76.88,-78.54
-76.52,-78.12
-75.8,-77.52
-76.36,-77.44
-76.4,-78.24
-76.28,-79.0
-76.8,-78.08
-77.08,-79.92
-75.84,-79.0
-72.8,-79.0
-75.4,-78.96
-75.0,-80.92
-76.6,-82.28
-76.56,-81.48
-76.44,-81.69
-82.64,-80.56
-84.32,-75.76
-77.28,-78.4
-78.68,-82.16
-81.4,-84.8
-81.12,-85.92
-81.24,-85.68
-81.84,-88.64
-84.68,-91.85
-89.88,-90.08
-88.44,-88.09
-85.96,-87.32
-87.92,-88.6
-88.96,-92.48
-90.52,-93.08
-89.72,-91.44
-88.24,-92.92
-89.0,-92.3
-89.44,-92.32
-89.4,-91.8
-88.88,-90.12
-87.8,-90.68
-88.48,-92.32
-89.04,-90.8
-90.36,-88.04
-86.84,-90.08
-87.72,-88.36
-89.08,-91.6
-87.84,-89.84
-87.44,-91.12
-89.68,-92.92
-90.16,-93.88
-90.56,-94.24
-87.96,-95.12
-91.28,-92.12
-91.08,-93.48
-91.52,-90.96
-89.2,-88.48
-86.56,-90.96
-87.76,-91.52
-88.24,-92.43
-92.08,-94.32
-91.52,-96.32
-93.56,-96.72
-92.76,-97.8
-95.96,-97.96
-96.76,-99.8
-95.96,-98.36
-96.76,-95.92
-94.56,-96.04
-94.48,-97.96
-95.8,-98.72
-95.24,-99.6
-97.88,-99.24
-96.08,-98.92
-97.44,-99.88
-98.04,-97.52
-98.72,-98.96
-98.8,-100.8
-98.24,-100.76
-98.88,-100.2
-99.32,-100.36
-97.52,-100.96
-98.24,-100.91
-98.0,-99.96
-98.0,-98.2
-95.68,-97.04
-95.08,-95.76
-94.68,-95.16
-93.52,-94.04
-92.4,-94.62
-93.56,-96.88
-93.92,-99.52
-93.92,-99.2
-96.36,-99.48
-97.84,-99.72
-96.32,-99.76
-98.32,-99.68
-98.08,-99.96
-98.4,-99.77
-97.92,-99.48
-99.6,-100.08
-99.64,-99.76
-98.28,-99.52
-98.0,-99.36
-98.4,-101.24
-98.44,-101.88
-98.84,-102.48
-100.12,-101.0
-100.96,-100.56
-101.0,-100.88
-100.92,-99.28
-99.68,-97.92
-99.04,-97.68
-98.52,-100.08
-99.36,-99.44
-97.48,-100.52
-98.52,-99.04
-99.28,-102.2
-100.48,-104.12
-100.44,-103.8
-100.08,-102.88
-97.64,-101.12
-96.88,-103.64
-98.0,-103.08
-98.92,-103.68
-101.56,-102.6
-103.32,-104.88
-104.24,-106.12
-104.12,-105.64
-104.96,-104.4
-103.2,-103.92
-102.16,-104.12
-100.88,-104.32
-102.96,-104.39
-102.36,-104.56
-103.2,-106.36
-105.2,-108.56
-105.4,-107.73
-104.92,-107.8
-104.52,-106.6
-105.2,-108.28
-106.08,-108.72
-106.88,-109.32
-105.4,-108.96
-104.64,-108.12
-105.52,-108.36
-103.48,-108.62
-104.12,-107.56
-104.16,-109.4
-105.8,-109.96
-106.24,-109.16
-105.4,-107.6
-105.68,-104.96
-104.52,-107.16
-105.56,-108.0
-105.28,-108.28
-103.16,-104.88
-101.84,-90.6
-100.4,-86.91
-103.48,-89.41
-105.48,
-88.28,
-83.85,
-90.97,
