DUT,REF
-91.14,-88.27
-90.1,-88.9
-90.0,-87.2
-90.7,-88.0
-88.98,-88.0
-90.33,-87.87
-91.15,-88.58
-92.67,-88.62
-91.78,-88.67
-89.28,-89.05
-89.19,-88.4
-89.94,-88.82
-89.45,-88.0
-89.85,-89.2
-89.08,-89.6
-90.3,-90.64
-89.25,-90.13
-89.31,-89.98
-89.33,-89.07
-89.3,-89.38
-89.12,-89.08
-88.94,-89.5
-90.06,-89.8
-90.4,-89.2
-89.21,-88.24
-89.68,-87.64
-88.37,-86.64
-90.1,-85.54
-88.1,-84.9
-88.08,-85.7
-87.87,-85.44
-87.74,-85.9
-87.85,-85.58
-87.02,-84.86
-87.69,-82.94
-88.9,-83.48
-88.64,-86.46
-89.06,-81.72
-86.68,-80.7
-88.73,-78.98
-90.38,-79.92
-86.11,-80.32
-85.68,-81.49
-86.13,-84.49
-87.37,-83.62
-85.86,-87.14
-88.33,-89.16
-88.72,-89.46
-88.96,-90.44
-84.36,-87.96
-84.06,-89.36
-84.33,-88.76
-84.79,-89.15
-89.02,-91.02
-90.25,-91.08
-92.23,-92.32
-92.31,-92.48
-91.05,-93.29
-91.66,-94.62
-91.25,-92.86
-92.12,-94.69
-92.24,-93.48
-90.51,-94.72
-90.25,-92.38
-89.83,-91.1
-94.59,-93.58
-91.52,-91.04
-91.66,-91.84
-94.44,-92.35
-93.12,-94.1
-95.1,-94.46
-95.9,-93.68
-97.17,-94.34
-96.46,-94.44
-94.29,-90.71
-95.04,-92.12
-92.43,-95.16
-94.79,-96.18
-97.43,-98.14
-99.06,-98.04
-99.4,-98.38
-101.71,-99.44
-103.85,-99.38
-101.62,-100.84
-102.96,-100.44
-102.29,-99.18
-102.33,-100.36
-102.02,-100.14
-102.28,-101.2
-101.44,-100.0
-103.65,-101.78
-102.49,-101.7
-100.17,-100.74
-100.11,-99.08
-99.92,-100.42
-99.57,-99.02
-99.32,-97.89
-100.15,-100.24
-100.81,-99.68
-101.64,-100.64
-101.58,-101.18
-102.34,-101.04
-101.15,-97.28
-102.92,-100.88
-102.06,-99.82
-100.69,-96.82
-101.0,-98.8
-101.38,-99.28
-101.74,-100.48
-101.4,-102.25
-102.54,-101.98
-101.17,-100.22
-100.19,-100.44
-102.45,-103.24
-104.55,-102.66
-103.32,-97.2
-107.11,-100.48
-108.02,-98.9
-100.77,-98.4
-104.77,-102.04
-107.08,-102.62
-106.7,-102.66
-106.9,-103.68
-106.91,-105.9
-105.7,-107.2
-108.88,-105.86
-106.5,-104.62
-105.11,-105.68
-104.04,-105.94
-104.13,-103.28
-105.43,-103.44
-105.64,-105.18
-105.77,-103.26
-105.11,-108.5
-108.96,-102.68
-106.66,-104.86
-109.45,-104.68
-110.74,-105.92
-108.56,-106.92
-107.08,-105.34
-105.85,-103.76
-107.52,-102.42
-108.12,-106.22
-110.83,-105.51
-110.1,-106.0
-109.28,-106.04
-109.19,-105.12
-108.72,-103.68
-105.9,-104.54
-105.45,-103.22
-107.02,-103.08
-106.1,-103.36
-108.28,-107.4
-110.34,-108.66
-110.86,-107.78
-109.26,-108.22
-106.53,-108.49
-107.75,-110.59
-111.12,-108.92
-111.39,-108.62
-108.42,-108.27
-110.75,-108.87
-112.31,-111.65
-114.13,-111.13
-112.97,-108.86
-111.97,-106.84
-112.1,-110.85
-113.03,-111.34
-110.05,-110.42
-110.19,-110.39
-108.64,-110.66
-111.36,-109.47
-109.25,-106.16
-108.36,-108.42
-109.67,-105.4
-108.11,-106.44
-108.35,-106.69
-106.0,-102.47
-103.71,-100.78
-104.03,-102.92
-104.28,-102.9
-101.51,-102.0
-100.47,-101.54
-100.74,-101.24
-100.83,-102.5
-101.91,-102.08
-101.06,-100.16
-101.26,-99.68
-101.32,-99.28
-99.53,-98.7
-99.47,-99.5
-99.88,-98.98
-100.06,-98.64
-100.75,-99.9
-100.52,-99.58
-100.0,-100.94
-101.57,-100.5
-101.28,-100.04
-100.79,-100.48
-101.64,-100.68
-100.96,-99.88
-100.27,-100.1
-101.08,-101.06
-100.35,-97.75
-102.45,-98.59
-102.68,-98.81
-100.65,-99.25
-103.21,-97.94
-101.96,-98.0
-102.26,-98.19
-103.98,-99.81
-103.77,-99.69
-103.77,-101.38
-105.46,-103.81
-105.02,-103.39
-103.54,-101.54
-103.79,-103.52
-105.33,-101.82
-104.34,-101.42
-105.06,-104.34
-106.0,-103.94
-104.81,-102.78
-103.36,-97.54
-99.62,-94.93
-100.0,-93.56
-97.31,-96.08
-97.71,-97.32
-102.13,-105.32
-104.67,-101.92
-99.83,-97.44
-103.5,-102.14
-102.15,-104.83
-104.21,-111.46
-101.6,-109.7
-103.17,
-109.35,
-108.26,
-108.22,
-108.17,
