DUT,REF
25.0,8.0
16.7,19.0
16.0,17.0
13.8,8.0
14.0,12.5
18.1,10.0
19.7,10.6
14.3,12.4
21.0,10.0
19.2,8.9
15.8,10.7
12.7,11.4
12.5,9.9
12.6,9.4
12.6,8.7
13.6,10.0
10.6,9.2
10.8,9.8
11.4,10.9
12.0,14.1
12.4,17.2
13.6,14.8
17.4,17.0
18.4,16.8
18.2,15.9
19.1,14.5
21.5,13.9
19.3,17.3
18.4,16.4
18.3,16.1
19.6,17.5
18.2,13.2
15.9,15.7
19.0,19.1
14.2,22.6
18.1,21.8
20.3,20.8
20.7,20.8
21.2,16.5
22.3,20.3
19.9,18.0
19.5,16.5
18.1,18.1
18.4,18.7
20.3,19.1
17.9,17.6
20.0,20.3
21.3,22.2
22.7,20.0
21.4,11.0
24.1,15.0
21.7,9.8
11.9,15.1
15.3,9.6
11.7,8.5
15.0,8.8
14.2,10.8
12.5,8.0
11.0,11.4
15.5,8.9
11.1,11.0
13.0,9.2
13.2,11.2
13.3,11.7
13.3,15.7
12.9,15.8
16.3,18.9
17.2,15.8
19.1,16.9
20.6,19.2
19.1,18.5
18.9,17.1
22.0,17.6
22.1,18.0
20.6,19.4
18.8,20.5
20.7,20.9
19.5,22.6
22.6,18.9
23.0,14.0
24.8,11.2
21.1,18.6
15.2,18.4
11.1,19.5
16.9,17.8
18.2,16.0
19.1,11.5
20.0,10.4
17.3,13.4
15.7,21.6
12.0,20.8
8.2,20.2
22.4,20.4
21.0,16.9
22.3,19.4
22.0,19.7
18.4,19.8
21.8,21.6
21.6,22.2
22.0,22.2
22.4,23.1
24.4,22.2
25.1,17.6
26.0,14.0
24.2,18.5
22.4,18.2
18.1,20.1
17.7,20.6
19.4,19.9
21.8,13.4
23.2,16.3
21.2,17.2
18.2,19.4
14.9,19.7
19.1,22.0
19.6,22.0
20.6,21.7
24.3,21.2
24.2,21.7
24.2,22.4
23.1,22.4
23.9,24.5
23.2,22.9
22.7,24.1
23.5,24.5
22.3,25.3
22.5,24.8
24.9,23.7
23.7,24.2
26.0,22.5
23.5,22.1
23.8,22.6
23.6,21.3
21.1,23.2
21.2,22.0
20.5,21.4
20.7,21.0
20.2,22.4
22.6,20.5
21.4,21.5
21.9,21.9
24.0,19.7
23.9,22.0
24.3,20.9
21.0,21.5
24.3,22.6
23.7,20.1
22.5,22.1
25.8,20.9
24.5,20.5
25.5,24.0
26.1,23.5
23.3,25.0
24.7,21.9
25.0,19.8
24.1,19.6
23.1,19.0
20.3,17.4
21.8,19.7
20.9,23.4
20.1,23.3
21.2,21.3
22.2,21.0
23.0,18.5
21.5,18.2
20.8,13.7
18.7,14.3
20.0,16.8
16.7,18.3
18.4,19.2
18.3,18.0
18.8,18.2
19.8,16.1
18.7,17.9
18.6,16.3
18.8,18.7
18.5,16.7
18.2,18.4
19.6,15.2
18.0,19.8
19.0,18.4
15.2,14.6
19.3,19.2
18.0,15.1
18.9,21.5
18.8,20.7
17.4,19.8
14.6,17.2
20.4,14.8
19.6,15.7
18.4,14.6
16.5,11.7
16.2,9.8
13.5,11.9
11.2,8.0
6.4,7.1
4.1,4.8
-2.0,6.6
-5.5,10.2
5.6,10.2
8.5,7.2
10.8,7.6
11.5,8.9
11.0,7.7
10.0,7.5
9.0,7.6
11.4,5.3
12.0,7.3
10.3,6.5
11.0,5.2
11.7,4.3
10.8,2.9
8.6,4.2
10.3,7.4
9.2,9.1
8.6,9.6
9.7,7.4
11.9,7.5
7.6,7.9
3.4,8.2
4.4,8.9
4.2,10.2
6.8,8.4
6.4,8.8
9.1,9.9
8.7,7.3
6.6,8.6
7.9,5.7
7.2,7.7
8.0,2.0
5.8,5.8
6.7,8.0
3.6,6.4
4.9,5.6
7.2,5.6
6.0,4.3
4.6,4.8
4.5,5.3
5.1,5.3
4.5,6.1
3.8,6.8
4.8,5.4
5.8,4.7
4.8,6.0
5.7,7.6
5.6,8.9
7.0,8.5
8.4,7.1
9.3,7.6
9.0,8.3
7.4,7.9
10.4,8.3
9.5,7.6
9.6,7.7
9.6,7.4
10.2,8.2
10.6,8.8
9.1,7.1
8.7,5.7
9.3,8.1
9.7,5.5
8.6,3.4
8.0,4.4
6.1,3.6
4.4,2.1
4.0,2.3
3.4,1.5
8.1,1.7
9.1,8.0
4.6,9.8
6.8,8.3
9.3,7.2
10.2,9.0
9.1,8.1
8.0,8.5
8.8,8.8
7.6,2.1
10.0,3.2
9.4,3.0
6.6,5.7
7.2,5.6
3.7,8.5
4.4,6.8
5.1,9.9
6.8,8.0
8.0,8.8
7.3,7.0
8.8,5.0
8.5,7.6
7.3,5.8
6.5,6.4
7.2,5.4
7.9,7.2
4.2,2.4
3.9,0.6
6.7,1.7
3.0,0.2
-0.6,5.5
2.0,6.2
-1.8,5.6
2.2,3.0
2.6,1.1
1.1,0.2
-1.1,1.6
-0.5,2.6
0.8,0.4
1.7,1.2
2.9,-2.4
0.6,1.5
0.9,-3.8
-3.9,-3.6
-7.1,-5.8
-2.6,-4.5
-5.0,-2.6
-3.3,-6.9
-7.1,-7.1
-14.6,-6.9
-10.3,-4.2
-15.7,-6.2
-16.0,-6.0
-13.0,-6.2
-14.7,-7.7
-13.0,-10.7
-14.0,-9.6
-16.0,-8.2
-14.8,-8.4
-10.0,-10.0
-7.6,-8.8
-12.6,-10.8
-17.0,-13.9
-17.0,-12.9
-12.6,
-16.8,
-15.6,
-17.0,
-16.8,
-13.6,
-12.9,
-11.0,
-11.0,
-10.8,
