DUT,REF
24.0,26.0
24.92,26.38
27.83,25.0
24.8,24.26
25.14,25.26
21.8,24.7
22.5,24.2
23.17,25.82
21.5,24.96
22.0,24.54
23.0,23.9
21.58,25.9
21.7,26.04
20.85,25.76
21.32,26.08
19.92,24.94
21.0,25.48
20.49,24.16
18.81,24.78
17.94,25.04
21.17,25.52
21.0,24.72
21.98,25.58
21.64,25.1
21.0,23.2
20.19,24.62
21.49,24.29
22.46,24.16
21.92,23.64
22.96,23.54
23.27,21.74
22.96,22.24
23.02,22.42
23.8,22.52
22.05,22.2
22.38,22.12
22.96,21.1
23.46,21.96
21.6,20.72
19.48,20.24
18.25,21.18
18.98,21.8
19.72,22.7
19.04,23.06
20.09,22.88
19.17,22.66
19.6,22.48
17.89,23.08
17.12,20.6
19.19,20.9
17.83,21.36
18.44,20.2
18.97,21.0
19.06,20.76
16.23,20.84
15.08,23.56
16.53,19.7
15.47,22.04
17.64,20.26
16.28,19.26
16.64,18.74
17.96,18.7
15.6,17.6
19.04,18.04
18.02,16.88
17.13,17.5
14.85,16.8
16.3,15.38
15.28,16.34
13.73,16.12
12.53,16.26
11.47,15.71
13.19,17.02
12.94,19.18
12.98,17.0
12.98,15.92
13.75,15.69
13.54,16.18
11.15,16.12
12.54,15.54
10.79,16.82
10.26,15.7
11.98,14.52
11.77,15.62
9.87,16.4
10.95,18.44
12.4,14.86
11.94,14.24
11.92,16.62
12.94,16.98
13.36,18.86
14.09,17.24
11.68,14.34
9.06,16.06
8.88,15.46
9.85,15.5
12.79,14.9
10.38,13.2
10.58,12.9
11.09,11.98
11.12,13.1
11.62,14.74
12.83,15.6
12.52,14.52
11.72,11.9
9.98,11.24
11.11,7.66
12.91,7.2
13.91,6.44
12.13,8.58
10.77,12.88
10.4,13.1
10.57,19.72
8.98,16.51
6.68,22.96
6.6,21.1
7.48,22.02
9.47,19.12
12.87,12.12
14.67,11.32
12.36,14.98
14.32,16.16
13.0,10.42
13.04,12.62
7.85,11.72
6.7,13.6
6.62,8.93
8.6,8.6
15.13,10.52
6.83,10.86
8.64,10.96
8.81,10.54
6.31,11.62
3.43,11.14
4.75,9.71
4.28,7.88
6.42,7.32
6.21,6.48
8.95,6.42
6.08,5.26
7.28,3.25
3.86,4.78
2.11,5.87
3.44,7.84
2.85,6.0
5.61,4.16
4.2,3.74
2.2,4.0
0.31,3.0
1.95,5.9
2.67,3.42
2.1,2.53
0.83,0.55
1.19,-0.73
1.15,-2.11
0.94,-1.7
1.97,-0.37
0.36,-1.46
0.67,-3.85
0.08,-3.34
-0.07,-6.04
-1.64,-5.34
-2.03,-3.68
-1.08,-4.78
-3.82,-4.62
-5.86,-4.08
-6.82,-3.16
-7.03,-4.1
-3.45,-5.72
-4.09,-3.96
-1.56,-4.78
-0.08,-4.86
-0.49,-4.88
-2.87,-5.0
-4.89,-4.56
-6.06,-3.94
-3.33,-3.02
-2.11,-4.08
-2.46,-4.94
-1.1,-5.8
-2.24,-4.6
-1.16,-5.38
-0.23,-6.74
-1.06,-6.72
-2.0,-4.88
-1.62,-7.32
0.08,-5.8
-3.05,-4.22
-3.62,-5.4
-2.56,-6.76
-0.85,-5.66
-2.33,-5.54
-4.73,-7.5
-2.22,-8.08
-4.21,-5.6
-3.34,-8.28
-5.32,-6.04
-2.12,-6.34
-2.0,-5.82
,-1.0
,-3.64
,-4.28
,-1.74
,1.7
,-9.72
,-9.22
,-2.3
,-6.58
,-6.86
,-12.5
,-16.43
,-17.5
,-14.83
,-12.68
,-9.82
,-11.38
,-10.31
,-8.86
,-11.18
,-7.68
,-11.13
,-12.03
,-12.5
,-16.68
,-16.29
,-16.39
,-16.29
,-15.55
,-15.73
,-18.7
,-12.43
,-17.15
,-19.88
,-18.33
,-19.47
,-16.8
,-15.63
,-15.8
,-15.88
,-15.1
,-15.18
,-14.68
,-15.78
,-16.04
,-17.84
,-16.15
,-17.22
,-17.02
,-18.08
,-19.8
,-14.6
,-14.32
,-14.18
,-12.24
,-14.14
,-12.45
,-12.73
,-10.57
,-14.74
,-15.26
,-14.52
,-14.9
,-16.73
,-14.28
,-13.36
,-14.24
,-12.2
,-12.13
,-10.17
,-8.22
,-11.61
,-8.07
,-6.3
,-9.37
,-12.0
,-18.04
,-9.59
,-7.85
,-1.98
,-0.89
,-0.38
,-0.91
,-2.89
,-0.22
,-3.73
,-0.31
,2.88
,5.08
,4.43
,2.23
,2.57
,10.2
,2.85
,5.9
,2.54
,2.89
,4.09
,5.24
,7.69
,9.84
,10.96
,11.85
,7.92
,8.05
,5.93
,6.24
,8.8
,7.55
,10.0
,8.91
,12.11
,8.72
,9.14
,13.46
