DUT,REF
4.0,-0.4
8.5,-5.5
14.8,-6.7
14.5,-7.3
15.6,-6.1
15.0,-8.2
14.0,-7.3
14.8,-6.7
13.4,-6.7
15.4,-9.5
14.0,3.9
14.6,1.6
14.2,0.8
14.4,1.4
14.6,0.7
14.2,1.7
15.6,2.5
15.9,1.9
15.8,2.6
15.3,0.2
16.8,3.2
17.2,-1.0
14.8,0.4
14.7,1.1
14.7,-0.7
14.3,-1.2
16.2,-2.3
15.2,1.8
15.3,1.7
15.1,1.2
16.5,-0.1
15.4,4.1
15.1,4.2
13.6,3.4
14.7,-1.3
15.7,0.8
13.1,1.6
13.2,2.0
14.2,-0.3
15.0,-2.8
15.0,-0.7
15.1,-2.2
17.0,0.7
16.7,0.2
16.8,-2.1
17.0,-0.2
15.0,-2.4
16.5,-3.1
16.2,3.0
15.5,5.2
13.8,2.1
14.8,2.3
15.4,3.7
16.2,2.6
16.8,1.6
16.4,2.3
16.6,1.7
16.0,0.6
16.8,0.4
16.8,-1.1
15.8,-3.4
16.3,-2.9
15.2,-1.4
16.6,1.8
16.4,3.5
18.0,5.4
17.7,3.0
18.0,4.1
18.7,1.7
18.2,0.4
17.7,1.2
18.9,0.0
18.7,2.6
18.3,2.9
18.3,4.8
18.6,7.2
17.5,11.3
18.8,12.1
18.7,12.9
18.8,11.9
18.7,11.8
19.0,11.5
18.5,9.7
19.1,11.2
18.2,11.1
17.9,10.7
18.2,10.1
18.3,9.4
18.8,9.0
19.8,8.5
20.3,10.5
20.6,10.0
20.4,13.3
20.4,9.9
20.2,10.5
20.6,9.9
20.4,14.1
20.8,15.2
20.9,18.2
20.8,18.3
20.9,18.8
20.8,18.8
21.1,18.5
20.9,16.2
20.9,18.6
20.9,18.0
21.4,18.7
21.2,19.0
21.2,19.0
21.0,18.9
21.2,18.8
20.8,18.9
21.0,18.9
21.1,19.0
21.1,18.7
21.1,18.9
21.2,19.0
21.1,19.0
21.3,19.0
21.1,19.0
21.0,19.0
21.1,19.0
20.7,18.9
20.7,19.0
20.9,19.0
21.2,19.0
20.9,18.9
20.8,19.0
20.5,18.9
19.9,18.9
,18.8
,19.0
,19.0
,19.0
,19.0
,19.0
,18.2
,15.4
,14.6
