DUT,REF
14.0,8.0
17.2,8.0
17.6,7.7
17.4,9.8
17.8,10.0
17.6,9.9
16.3,16.4
17.8,16.4
18.3,16.4
16.9,16.7
17.9,16.3
17.7,16.7
17.6,17.0
17.7,16.5
17.7,16.6
17.1,17.1
17.0,16.7
17.2,16.6
15.0,16.7
15.8,16.7
15.3,16.7
15.3,17.5
15.0,17.4
14.8,17.1
15.6,16.7
15.3,17.1
15.8,16.7
15.2,16.5
14.9,16.9
15.2,16.5
15.9,17.0
16.6,16.6
17.1,16.6
17.9,16.4
17.5,16.4
16.9,16.5
18.0,17.5
17.9,17.1
18.5,17.8
18.3,17.7
18.4,18.0
19.2,18.6
19.3,18.7
19.1,18.4
19.2,18.2
18.5,18.9
18.7,19.0
18.5,19.3
19.0,18.9
18.8,19.2
19.2,19.2
18.6,19.3
19.1,18.6
19.1,18.9
19.1,19.3
19.5,19.1
19.0,19.1
18.8,18.8
18.6,19.2
19.1,19.2
19.3,19.5
19.6,19.4
19.5,19.6
19.6,19.1
19.6,19.4
19.8,19.1
20.1,19.6
20.2,19.5
20.1,19.9
19.8,20.0
19.9,20.1
19.9,20.0
20.3,19.9
20.1,19.9
20.2,19.9
20.1,20.0
19.9,19.9
19.8,20.0
20.1,20.0
20.2,20.0
20.2,20.1
19.9,20.1
19.7,19.9
19.7,20.0
19.7,20.5
19.7,20.2
20.1,20.0
20.2,20.0
20.4,19.9
20.3,19.9
20.3,20.1
20.1,20.4
20.7,20.8
20.7,20.8
20.5,20.8
20.6,20.8
20.2,20.6
20.8,20.6
20.6,20.8
20.8,20.8
20.9,20.5
21.1,20.6
21.1,20.8
21.4,20.8
20.1,20.9
21.2,20.7
21.0,20.7
20.7,20.8
,20.7
,20.6
,20.7
,20.9
,21.2
,21.2
,21.1
,21.3
,21.2
,21.3
,21.1
,21.0
,21.0
,20.9
,20.8
,21.1
,20.7
,21.1
,21.4
,21.2
,21.3
,20.9
