PC2,PC3
-93.67,-91.17
-93.14,-89.2
-93.33,-89.0
-93.0,-89.34
-93.4,-89.32
-94.67,-88.1
,-89.0
-96.0,-89.43
-94.04,-89.33
-96.21,
-96.19,-88.52
-94.55,-89.12
-93.83,-89.64
-96.36,-89.46
-95.17,-88.55
-96.63,-89.56
-96.02,-89.88
-95.77,-89.26
-95.7,-89.12
-94.92,-89.44
-96.86,-90.02
-94.0,-89.67
-94.33,-89.12
-93.6,-89.5
-94.55,-87.8
-94.91,-88.57
-93.82,-88.86
-94.25,-89.37
-94.3,-89.07
-94.25,-87.36
-93.25,-89.16
-95.0,-88.0
-95.5,-92.4
-92.53,-89.41
-95.0,-89.2
-95.0,-90.73
-94.19,-89.17
-94.2,-90.92
-93.25,-88.83
-93.69,-91.43
-95.0,-91.5
,-91.0
-94.95,
-94.0,-92.24
-93.82,-94.0
-92.94,-92.59
-90.63,-90.36
-93.1,-91.83
-92.29,-89.58
-93.14,-90.71
-93.14,-92.5
-93.14,-91.6
-92.83,-91.91
-94.11,-94.33
-92.08,-94.27
-90.86,-94.81
-91.33,-95.62
-92.0,
-93.0,
-91.95,-97.0
-93.52,-94.68
-92.96,-94.06
-89.38,-93.1
-87.3,-91.22
-85.4,-92.62
-89.0,-87.3
-88.0,-87.8
-92.9,-89.5
-92.0,-88.57
-90.83,-93.31
-92.2,-92.0
-89.1,-83.86
-88.47,-84.36
-90.33,-86.5
-94.78,-89.45
-95.12,-93.38
-94.16,-91.33
-92.67,-93.49
-93.89,-92.96
-90.75,-92.17
-94.0,-94.0
-94.44,-93.08
-91.19,-89.8
-98.09,-93.8
-93.71,
-94.0,-99.0
-90.0,-92.0
-95.57,-97.13
-93.47,-91.67
-97.4,-94.12
-102.06,-94.5
-96.08,-97.5
-95.32,-99.78
-92.98,-96.19
-96.55,-99.94
-99.17,-98.17
-95.0,-98.36
-95.22,-97.0
-93.45,-102.0
-97.46,
-97.0,-101.3
-101.8,-101.44
-103.1,-102.2
-102.7,-105.0
-102.0,-104.94
-104.15,-106.5
-98.1,-100.81
-102.41,-101.33
-101.31,
-101.42,-101.54
-103.74,-105.71
-103.19,-107.12
-100.38,-102.64
-98.8,-101.72
-98.29,-103.5
-101.0,-108.67
-105.14,-107.86
-100.38,-104.33
-105.25,-106.86
-106.0,-103.9
-97.86,-102.0
-98.8,-102.4
-105.5,-103.2
-94.67,-101.29
-101.47,-106.07
-98.76,-100.82
-100.98,-99.81
-102.4,-103.78
-102.72,-102.87
-107.18,-106.1
-100.86,-103.44
-101.62,-104.67
-110.3,-108.85
-102.52,-105.0
,-103.0
-102.93,-105.85
-103.0,-105.0
-105.0,-106.0
-107.0,-107.0
-107.04,-108.0
-106.0,-106.33
-109.6,-111.11
-109.34,-108.77
-110.41,-111.38
-109.7,-109.04
-110.3,-110.94
-105.77,-104.64
-106.4,-108.27
-106.68,-106.68
-108.94,-109.58
-110.08,-109.82
-106.77,-107.43
-105.79,-107.38
-111.15,-108.27
-111.63,-110.67
-112.64,-112.81
-111.53,-113.0
-109.08,-111.91
-110.17,-112.0
-108.29,-111.41
-109.48,-110.69
-110.62,-110.8
-111.95,-113.27
-112.0,-111.93
-112.27,-112.25
-113.82,-112.75
-112.17,-111.75
-111.5,-112.4
-111.29,-111.12
-113.13,-112.29
-113.08,-112.43
-113.57,-111.0
-112.29,-112.5
-113.8,-113.2
-112.75,-113.0
-112.62,
-114.0,
-112.96,
-115.38,
