PC2,PC3
20.0,21.0
22.5,23.0
22.0,21.0
19.7,20.6
24.3,21.2
20.0,19.5
19.9,20.0
20.0,24.0
21.0,19.1
20.3,18.6
20.1,18.2
19.4,18.2
19.1,18.0
19.0,18.1
19.0,18.1
19.0,18.2
19.0,18.1
19.1,18.3
19.2,18.3
19.2,18.2
19.2,18.3
19.3,18.6
19.2,18.4
19.1,19.2
19.2,19.1
19.3,20.4
19.3,19.2
19.2,19.2
23.0,19.3
20.0,19.5
21.5,22.0
22.0,22.3
21.0,20.2
20.0,20.7
21.4,22.0
22.7,22.0
21.3,21.7
22.4,20.5
18.3,18.5
18.9,19.2
19.4,19.2
19.7,19.0
20.4,20.5
21.5,21.7
20.7,22.3
20.3,22.0
18.6,21.7
18.7,20.3
22.0,20.0
20.3,21.8
19.7,21.0
21.0,20.0
18.6,22.0
19.2,18.7
19.2,20.0
19.0,18.4
18.0,18.0
15.3,19.9
19.7,22.0
20.8,20.4
22.3,21.0
22.2,20.7
19.8,20.5
19.2,18.2
18.1,15.4
18.5,15.6
16.4,16.9
19.7,17.3
19.8,19.6
19.1,19.4
19.0,19.0
19.1,19.1
20.6,19.3
19.8,20.2
20.3,19.9
17.7,19.4
20.3,22.2
20.5,19.7
19.9,18.4
18.8,19.3
19.7,20.2
19.3,20.2
20.6,19.8
21.9,21.5
21.1,21.3
19.4,22.1
19.1,19.0
19.0,19.0
19.8,19.0
21.6,19.4
20.0,21.3
20.6,20.8
20.8,20.5
21.6,20.3
21.5,21.5
20.9,20.5
21.7,20.7
22.0,20.2
21.5,21.9
20.8,22.3
20.8,21.6
19.4,21.3
19.0,19.7
19.0,19.0
19.0,19.0
19.2,19.0
22.5,19.1
20.8,20.6
21.5,21.8
20.9,20.1
20.4,20.7
21.3,20.6
21.4,21.9
21.7,21.8
21.5,21.5
21.0,20.7
20.8,20.7
21.2,20.5
19.1,20.6
19.0,19.2
19.0,19.0
19.0,19.0
20.7,19.1
23.2,19.5
21.2,20.9
21.4,21.4
22.1,21.6
19.9,20.9
21.9,21.2
22.7,22.4
21.7,20.9
21.6,22.1
22.1,21.0
20.6,20.2
20.0,21.1
19.0,20.2
19.0,19.0
19.2,19.1
19.2,19.2
20.0,19.6
22.7,22.8
20.9,21.0
21.1,21.3
22.0,22.6
21.5,21.4
21.9,21.1
21.0,21.3
20.8,22.1
21.7,22.8
20.9,21.6
21.1,20.8
19.0,22.3
19.0,19.2
19.0,19.0
19.0,19.1
19.1,19.0
19.6,19.0
21.4,19.0
20.0,22.7
21.0,20.6
22.8,22.0
24.0,20.7
21.0,20.0
22.0,22.4
21.2,20.5
20.4,21.4
23.2,23.0
