DUT,REF
-83.0,-80.0
-83.0,-80.0
-83.0,-80.0
-83.0,-80.0
-83.0,-80.0
-83.0,-80.0
-83.0,-80.25
-83.0,-80.0
-83.0,-80.0
-83.95,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-83.56,-80.0
-83.39,-80.0
-84.0,-80.0
-84.0,-79.72
-84.0,-79.0
-84.0,-79.0
-84.0,-79.0
-84.0,-79.0
-84.0,-79.0
-84.0,-79.92
-84.0,-79.52
-84.0,-79.68
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.0
-84.0,-80.23
-84.0,-80.0
-84.0,-80.0
-84.0,-81.0
-84.0,-81.0
-84.0,-81.0
-84.0,-81.0
-83.84,-81.0
-83.64,-81.0
-84.0,-81.0
-84.2,-81.0
-84.0,-81.0
-84.0,-80.92
-84.0,-80.0
-83.76,-80.08
-84.0,-80.28
-83.56,-80.08
-84.12,-80.48
-84.2,-80.24
-83.24,-80.0
-83.0,-80.0
-83.56,-80.0
-84.16,-80.0
-84.0,-80.0
-84.08,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-85.0,-80.0
-84.81,-80.0
-83.68,-80.0
-84.12,-80.0
-84.96,-80.0
-84.6,-80.0
-84.04,-80.0
-84.0,-80.0
-84.72,-80.0
-85.0,-80.0
-85.0,-80.0
-84.48,-80.0
-84.0,-80.0
-84.16,-80.65
-84.84,-80.24
-85.0,-80.0
-85.0,-80.0
-84.36,-80.0
-85.0,-80.0
-85.16,-80.0
-85.0,-80.0
-85.0,-80.0
-84.72,-80.0
-83.96,-80.0
-84.92,-80.76
-84.44,-84.12
-84.48,-85.24
-84.44,-84.28
-84.88,-83.82
-83.64,-84.12
-83.8,-83.2
-84.8,-82.0
-83.76,-82.72
-83.96,-83.32
-83.72,-83.4
-84.4,-83.48
-84.24,-83.08
-84.0,-84.0
-84.0,-84.0
-84.0,-84.0
-84.2,-84.0
-83.8,-84.0
-82.84,-84.0
-82.64,-83.8
-81.32,-83.4
-79.4,-84.36
-79.36,-83.44
-80.48,-82.96
-81.64,-83.0
-79.84,-84.52
-80.0,-83.96
-80.0,-82.88
-80.44,-82.2
-80.0,-82.62
-80.0,-82.6
-80.28,-82.4
-80.0,-82.8
-80.0,-82.84
-80.0,-83.0
-80.2,-82.88
-79.84,-82.84
-79.76,-83.0
-80.0,-82.76
-80.0,-82.69
-80.0,-82.96
-80.0,-82.72
-80.04,-83.04
-82.0,-82.88
-83.72,-83.24
-83.8,-84.12
-83.24,-84.68
-83.16,-84.76
-83.92,-84.0
-83.32,-83.44
-84.12,-84.0
-82.88,-82.6
-82.32,-79.27
-81.52,-82.12
-81.27,-82.56
-80.0,-83.04
-78.0,-81.6
-79.68,-79.08
-79.72,-77.08
-78.8,-75.12
-77.24,-75.32
-76.2,-73.92
-75.12,-75.23
-74.6,-77.4
-74.36,-77.76
-75.0,-76.48
-75.0,-75.72
-75.0,-76.32
-75.0,-76.96
-75.0,-77.0
-75.0,-77.0
-75.2,-77.0
-75.8,-77.08
-75.0,-77.08
-74.12,-76.04
-74.76,-77.91
-78.52,-76.2
