DUT,REF
-76.0,-77.0
-76.0,-74.05
-76.79,-73.73
-77.0,-74.0
-77.0,-74.0
-76.93,-73.75
-76.42,-72.92
-77.0,-73.11
-77.0,-73.05
-77.0,-73.35
-76.33,-73.0
-76.67,-73.5
-76.45,-73.3
-76.08,-73.75
-76.32,-74.05
-76.3,-75.8
-76.41,-74.35
-76.31,-73.6
-76.58,-72.7
-76.09,-72.2
-76.53,-73.45
-76.14,-73.25
-76.03,-73.45
-75.82,-73.7
-75.15,-75.55
-75.91,-76.55
-76.03,-76.6
-75.16,-73.05
-76.34,-72.95
-74.7,-74.35
-74.94,-74.4
-75.09,-74.7
-75.5,-74.7
-75.0,-74.3
-75.74,-74.65
-75.28,-74.7
-76.03,-74.75
-76.18,-74.95
-76.18,-74.75
-75.97,-74.95
-76.0,-74.85
-76.05,-75.0
-76.09,-75.25
-76.09,-75.0
-75.91,-75.05
-75.86,-75.0
-75.97,-75.4
-76.08,-75.0
-75.97,-75.15
-76.0,-75.0
-76.16,-75.55
-76.0,-75.3
-76.86,-75.25
-76.61,-75.85
-76.08,-75.35
-76.31,-75.3
-76.0,-73.1
-76.0,-73.0
-76.29,-73.0
-75.83,-73.75
-76.19,-73.75
-75.71,-74.3
-74.58,-74.8
-74.15,-74.5
-75.33,-74.4
-75.3,-72.95
-75.77,-72.9
-76.29,-75.25
-75.97,-77.75
-76.08,-77.65
-75.62,-79.05
-74.94,-77.85
-74.93,-77.0
-74.95,-77.4
-77.67,-78.5
-79.5,-82.9
-80.93,-89.4
-78.78,-84.55
-76.6,-81.9
-73.25,-78.2
-79.8,-92.6
-90.35,-97.55
-86.93,-98.2
-86.4,-96.0
-82.2,-96.9
-93.1,-97.06
-96.19,-98.27
-96.36,-98.85
-95.75,-100.05
-95.65,-100.6
-95.85,-102.55
-95.72,-105.55
-97.2,-106.5
-99.05,-106.0
-100.94,-108.3
-102.5,-108.15
-103.2,-109.15
-105.44,-106.65
-106.65,-107.7
-108.55,-108.3
-108.67,-107.45
-106.7,-107.55
-103.39,-108.95
-106.6,-110.15
-108.33,-110.35
-105.85,-111.35
-107.55,-112.95
-108.78,-113.0
-110.15,-112.75
-110.67,-112.5
-111.3,-112.45
-111.44,-112.85
-111.3,-111.35
-109.78,-112.05
-112.4,-111.7
-112.83,-112.05
-114.3,-112.65
-112.22,-114.15
-112.9,-114.3
-113.39,-115.45
-113.55,-115.55
-111.67,-116.2
-112.75,-116.65
-111.0,-115.75
-111.15,-114.85
-114.15,-114.25
-117.0,-114.7
-116.79,-112.55
-115.71,-112.1
-114.58,-113.75
-113.58,-117.7
-114.0,-118.52
-111.67,-118.48
-111.85,-117.06
-111.74,-116.15
-115.0,-116.32
-114.65,-115.05
-115.2,-116.43
-114.17,-115.65
-116.0,-116.45
-116.33,-116.7
-114.71,-116.45
-115.86,-118.56
-114.36,-118.4
-114.95,-118.65
-116.33,-118.75
-116.25,-118.9
-116.37,-118.4
-115.92,-119.2
-117.33,-118.7
-118.43,-117.75
-119.19,-118.1
-119.18,-121.5
-120.37,-120.85
-119.0,-121.62
-118.25,-120.0
-119.11,-120.23
-120.86,-120.5
-118.44,-119.0
-121.87,-118.85
-121.24,-119.7
-120.41,-118.15
-120.61,-118.52
-119.17,-118.03
-119.5,-116.53
-118.86,-116.6
-118.15,-117.03
-119.55,-116.63
-117.28,-117.63
-114.05,-116.9
-115.41,-115.5
-117.33,-116.6
-116.86,-116.33
-115.47,-115.63
-114.04,-117.93
-113.43,-116.41
-113.64,-118.41
-115.59,-118.57
-115.56,-120.11
-116.32,-119.32
-118.08,-119.25
-116.93,-118.65
-116.57,-120.19
-115.78,-120.0
-118.93,-118.56
-118.8,-118.33
-118.6,-118.11
-118.7,-121.46
-118.11,-119.88
-117.53,-121.23
-118.06,-122.43
-119.13,-122.2
-119.81,-121.97
-118.21,-123.8
-119.68,-122.63
-121.86,-123.94
-123.73,-125.0
-122.15,-124.81
-123.25,-124.26
-123.71,-121.7
-122.84,-121.3
-125.1,-120.8
-123.78,-119.5
-123.76,-119.9
-121.68,-119.4
-119.84,-117.67
-119.3,-117.43
-118.27,-115.5
-119.04,-117.43
-118.47,-118.3
-115.74,-118.6
-113.71,-119.17
-113.09,-118.4
-114.26,-118.2
-115.93,-121.03
-116.12,-121.53
-116.53,-123.52
-116.74,-123.0
-116.97,-124.0
-119.26,-123.03
-120.3,-121.57
-121.2,-121.77
-121.43,-121.4
-122.3,-119.83
-123.03,-120.57
-122.19,-120.13
-122.5,-117.9
-121.07,-120.4
-119.4,-118.83
-119.26,-118.43
-118.97,-118.7
-116.78,-119.22
-118.83,-119.3
-119.37,-119.33
-116.77,-118.57
-117.59,-119.17
-117.9,-121.3
-117.11,-121.33
-119.87,-121.47
-119.22,-121.3
-118.4,-121.4
-120.48,-122.53
-121.27,-122.83
-121.6,-120.5
-120.59,-120.93
-120.97,-121.07
-120.41,-120.9
-120.6,-121.57
-120.5,-121.97
-120.13,-120.77
-120.67,-120.97
-122.27,-122.73
-120.93,-122.2
-121.6,-121.13
-120.78,-122.07
-121.67,-120.9
-120.52,-119.63
-120.7,-119.67
-120.93,-118.87
-120.87,-118.93
-121.48,-119.33
-120.8,-119.8
-122.04,-120.5
-120.83,-121.7
-119.37,-120.43
-116.89,-120.73
-117.6,-121.03
-117.22,-123.0
-116.8,-122.0
-116.93,-120.43
-117.03,-120.57
-116.56,-121.17
-116.77,-121.2
-116.44,-119.63
-117.6,-118.67
-117.33,-119.43
-117.2,-119.8
-117.37,-119.67
-118.87,-119.15
-120.59,-119.52
-119.77,-119.27
-120.37,-113.13
-120.1,-108.3
-118.41,-108.0
-118.17,-108.23
-118.0,-107.93
-118.63,-109.87
-119.03,-108.37
-118.89,-109.7
-119.33,-108.0
-118.89,-108.11
-118.83,-109.58
-119.41,-110.63
-117.53,-110.37
-116.89,-111.47
-117.67,-110.77
-117.48,-111.57
-117.07,-111.9
-117.74,-112.1
-117.4,-108.8
-114.33,-106.73
-113.27,-107.13
-117.33,-107.3
-119.9,-107.27
-118.37,-106.07
-113.72,-106.23
-115.17,-107.07
-118.63,-106.4
-117.87,-106.07
-119.85,-105.53
-118.38,-104.73
-119.09,-103.87
-118.6,-105.53
-118.25,-107.19
-116.55,-107.8
-114.85,-107.93
-115.21,-109.47
-116.53,-110.58
-118.5,-109.86
-118.17,-110.9
-118.8,-111.92
-120.81,-111.6
-121.85,-111.92
-121.94,-111.92
-121.1,-112.3
-120.86,-112.3
-119.95,-111.17
-122.17,-109.43
-121.81,-109.75
-123.28,-109.92
-122.39,-110.92
-121.0,-110.58
-120.58,-108.86
-119.2,-108.18
-122.36,-108.98
-123.27,-110.5
-121.11,-112.0
-119.05,-112.92
-119.33,-112.68
-120.41,-112.6
-121.44,-112.05
-120.65,-112.38
-122.69,-115.97
-124.02,-116.13
-124.3,-117.72
-125.72,-119.85
-126.36,-120.48
-126.15,-122.6
-126.38,-123.15
-127.5,-123.2
-126.07,-121.88
-124.33,-119.57
-122.3,-118.88
-122.85,-118.55
-122.26,-118.55
-122.03,-119.75
-122.3,-119.15
-122.71,-118.4
-123.03,-119.5
-124.19,-121.07
,-120.8
,-120.2
,-119.28
,-120.37
,-121.72
,-121.73
,-121.62
,-122.1
,-121.57
