DUT,REF
9.5,13.7
12.4,11.9
14.2,10.0
14.3,11.0
15.7,16.0
10.8,15.3
14.3,12.0
11.0,8.4
10.0,10.7
14.0,9.6
13.0,9.8
6.9,10.4
8.1,10.3
8.5,10.6
8.7,11.4
8.6,11.6
8.4,9.7
9.4,12.9
10.8,13.7
9.7,13.0
6.5,14.2
10.1,13.0
11.1,7.6
11.0,7.1
11.7,9.9
11.4,8.2
6.4,9.0
5.2,10.0
8.1,11.1
8.4,9.9
8.3,10.1
9.7,12.5
11.3,12.3
8.4,13.0
8.6,13.0
10.9,13.1
11.2,12.5
12.2,12.8
11.0,10.8
10.6,10.6
10.1,10.2
10.7,9.8
10.6,10.1
9.6,10.6
9.9,11.0
8.2,11.5
8.4,13.1
9.2,14.9
11.2,16.2
11.3,16.3
13.6,16.1
13.7,17.0
14.8,17.9
14.2,18.8
14.4,17.5
15.6,18.6
16.2,18.8
18.2,19.2
16.2,19.3
17.3,20.1
17.9,17.9
17.4,18.9
20.5,22.3
19.7,22.5
16.8,21.5
18.4,19.7
21.7,18.1
22.0,17.0
21.0,18.4
20.3,17.1
18.1,16.2
17.3,16.0
17.2,15.8
16.4,15.4
16.4,15.8
16.9,14.0
16.6,13.5
13.6,14.6
16.3,12.0
14.3,13.7
11.4,15.1
11.6,14.2
11.0,14.9
10.9,15.4
13.7,14.1
13.8,15.6
14.3,12.4
15.5,12.9
14.7,10.3
14.6,12.4
10.4,12.0
12.5,10.3
7.9,10.4
10.8,10.5
12.4,9.8
9.8,11.2
8.3,10.0
10.6,9.8
7.1,8.5
7.5,10.2
6.6,12.6
8.7,15.0
7.6,16.2
7.6,17.9
9.4,18.2
11.4,18.3
15.0,20.7
16.8,19.0
18.3,18.3
17.9,18.0
20.5,14.5
17.3,12.2
17.8,10.2
18.0,10.9
15.6,9.9
13.0,10.2
10.6,9.0
11.0,7.8
9.4,2.1
9.2,4.2
8.5,1.4
7.8,2.6
1.7,4.3
4.7,5.1
1.2,4.3
1.0,4.8
3.9,2.9
3.6,3.1
3.9,-5.5
5.2,-0.7
4.1,2.4
4.3,1.3
1.4,0.5
1.8,1.2
3.2,4.0
0.0,3.3
-0.2,4.0
0.9,3.9
1.5,2.6
1.7,3.5
2.4,1.1
2.7,-2.1
-0.4,-2.3
1.3,-4.6
-0.8,-5.4
-2.2,-5.0
-1.6,-5.7
-3.8,-6.8
-7.8,-6.5
-7.9,-4.2
-5.6,-9.7
-7.3,-9.8
-6.8,-12.9
-3.0,-10.2
-7.8,-10.7
-11.5,-10.0
-13.0,-4.7
-10.3,-2.4
-12.1,-1.5
-13.5,-4.2
-3.5,-6.2
-1.8,-9.6
-0.2,-17.7
-2.5,-18.6
-2.3,-17.1
-7.4,-17.9
-17.6,-18.0
-17.7,-17.1
-18.7,-18.4
-18.6,-15.7
-15.6,-17.0
-15.6,-16.4
-16.5,-15.1
-16.1,-14.5
-14.5,
-16.4,
-12.7,
-11.4,
-12.9,
-12.1,
-19.0,
-19.1,
-16.6,
-15.6,
-15.8,
-15.0,
-14.5,
-14.2,
-13.5,
-13.9,
-14.2,
-15.0,
