DUT,REF
4.0,-8.0
3.0,-10.0
5.0,-7.0
2.0,-6.43
2.0,-6.0
1.0,-9.0
0.0,-10.0
0.0,-10.0
-1.0,-10.44
0.67,-9.0
0.25,-8.3
-0.37,-7.12
-0.36,-8.4
0.42,-5.44
0.37,-0.12
0.0,-1.64
0.0,-8.2
1.32,-8.22
4.32,-9.38
6.56,-6.5
4.0,-4.09
4.25,-1.04
2.98,-0.32
-0.44,2.28
0.73,-0.82
2.35,-3.78
1.04,-0.07
-0.31,-0.51
0.72,-0.78
0.37,0.76
2.37,-0.12
2.21,1.65
2.79,2.53
2.36,4.56
5.67,4.92
4.54,8.44
6.48,4.62
4.21,3.42
4.13,3.7
5.13,5.08
7.49,10.3
9.4,12.48
12.75,12.73
13.67,13.49
14.53,14.28
15.69,15.31
15.45,17.22
18.02,17.32
18.21,18.18
18.79,17.82
21.58,18.04
21.37,19.06
21.53,19.98
21.88,21.91
22.42,19.93
21.78,17.4
21.81,16.44
20.35,18.04
20.56,15.13
17.87,17.72
19.52,17.12
18.6,16.71
17.68,16.76
18.91,14.78
19.21,11.82
16.64,12.64
17.89,12.46
17.55,12.71
18.0,14.08
14.77,12.09
13.54,14.08
14.49,13.48
16.35,14.22
15.33,13.69
17.28,13.78
18.52,15.64
17.4,13.64
17.13,12.73
17.79,11.33
14.66,10.48
14.55,10.54
13.79,10.0
13.5,11.42
12.96,11.08
13.55,10.86
13.53,9.06
13.1,7.16
11.39,6.42
12.33,6.0
10.89,6.96
8.75,8.1
11.26,8.48
9.47,7.26
8.49,1.42
6.61,2.18
5.75,-0.38
4.85,-0.54
6.15,1.47
6.23,-0.2
4.45,0.06
5.67,0.3
4.88,1.38
4.5,0.44
3.4,0.62
3.66,0.36
3.83,2.29
5.61,4.28
6.72,3.5
7.76,5.44
8.0,5.42
5.74,5.96
5.77,6.3
6.02,4.2
5.96,4.98
5.65,4.85
5.11,4.8
5.41,4.71
5.73,5.44
5.94,6.07
6.9,4.42
6.04,2.87
5.1,2.98
4.94,0.18
4.44,1.0
3.37,2.29
3.98,3.36
4.73,8.4
8.48,6.18
7.3,4.76
5.96,7.28
7.64,5.3
8.91,1.24
5.91,-2.11
5.74,-4.64
2.25,-7.44
-1.04,-4.66
-3.87,-1.73
-4.36,-4.49
-1.45,-1.5
-0.67,-3.13
1.58,-0.64
2.08,0.04
2.58,0.5
2.85,1.46
2.43,1.76
2.55,2.04
2.72,0.46
2.61,0.5
2.67,-0.88
1.4,-1.78
2.45,-4.66
-1.9,-4.72
-1.17,-4.33
-3.54,-2.25
-1.77,-2.2
-1.51,-1.71
-1.45,-0.29
-0.94,-0.11
-0.64,-1.96
-1.52,-5.0
-4.23,-6.67
-6.19,-6.33
-4.77,-5.68
-4.46,-5.72
-5.29,-6.62
-5.09,-7.42
-5.43,-5.88
-5.34,-5.94
-5.17,-4.33
-4.72,-3.9
-3.25,-3.88
-2.77,-2.51
-3.33,-4.86
-2.17,-5.18
-3.27,-5.24
-3.87,-5.12
-3.94,-6.82
-5.81,-6.09
-6.19,-4.86
-4.68,-6.53
-5.21,-8.1
-7.11,-7.07
-5.85,-6.24
-5.54,-6.98
-5.2,-6.49
-5.31,-6.8
-5.0,-6.53
-6.15,-5.1
-5.84,-5.69
-5.48,-7.51
-5.08,-7.88
-5.94,-11.47
-6.88,-10.71
-7.27,-10.2
-6.94,-10.44
-7.26,-11.0
-7.41,
