DUT,REF
-4.0,-2.0
-5.6,-1.8
-8.0,-1.5
-8.3,-1.4
-9.0,2.9
1.0,-1.5
5.7,-5.6
2.8,-7.5
3.2,-5.8
2.6,-6.9
2.1,-6.0
2.8,-5.2
3.4,-6.4
3.5,-3.8
4.7,-6.3
3.9,-5.8
1.9,-5.7
2.3,-5.2
2.6,-5.3
1.5,-3.1
3.4,-1.8
2.6,-3.4
2.4,-4.9
1.3,-4.9
1.7,-5.2
1.5,-9.0
0.5,-2.9
0.2,-4.5
2.6,-4.3
2.4,-10.9
7.3,-7.0
8.0,-8.7
4.9,-10.4
5.6,-6.6
0.3,-8.2
-0.3,-8.9
-0.2,-6.9
-1.3,-3.8
-2.4,-4.9
-1.0,-6.0
-1.0,-6.9
-0.6,-7.1
0.0,-4.1
-0.2,-2.1
4.7,-1.3
7.9,-2.0
9.3,-2.6
6.6,-2.6
3.4,-3.7
6.7,-8.0
3.3,-4.3
5.3,-8.3
4.1,-13.0
6.2,-13.0
-3.3,-11.4
-0.2,-13.5
1.3,-10.3
-0.3,-12.5
1.5,-12.3
-0.6,-7.7
1.0,-3.2
0.6,1.8
-1.0,2.6
6.4,3.4
8.6,4.4
7.3,6.6
8.6,6.0
11.8,8.0
14.0,10.1
14.4,8.9
15.3,10.1
16.5,11.3
16.8,12.3
17.5,13.7
18.1,13.8
19.3,14.5
18.9,16.6
19.6,14.5
19.9,13.7
20.0,14.4
20.1,13.7
20.1,10.8
20.0,15.2
20.1,16.0
20.0,18.1
20.1,18.4
20.1,20.3
20.0,20.3
20.1,20.3
20.2,20.4
20.2,20.4
20.2,20.4
20.2,20.4
20.2,20.6
20.1,20.7
20.2,20.8
20.4,20.8
20.2,21.0
20.5,19.2
20.6,20.7
20.6,20.4
20.5,19.4
20.4,18.7
20.2,17.7
20.1,18.0
20.0,17.8
20.0,16.5
19.2,16.8
18.1,19.7
19.6,20.5
20.5,21.1
21.0,21.3
21.1,20.8
21.3,21.0
21.2,20.9
21.1,20.4
21.0,21.0
21.0,20.9
21.0,20.6
21.1,20.4
21.0,21.5
21.1,21.5
21.1,21.6
21.1,21.9
21.1,19.3
21.4,21.6
21.3,21.9
21.2,21.8
21.4,21.8
21.3,21.9
21.2,21.6
21.4,21.8
21.5,21.8
21.6,21.3
21.4,21.8
21.2,21.8
21.5,20.6
21.7,22.4
21.8,22.7
21.8,23.1
21.9,23.1
22.0,23.0
21.9,23.2
21.9,23.5
22.0,23.5
22.0,21.9
22.0,24.7
22.1,24.3
22.1,23.6
22.2,24.4
22.1,23.4
22.1,23.0
22.0,23.6
22.2,23.6
22.0,23.4
22.4,28.3
22.6,38.1
22.3,35.1
21.9,
21.0,
23.0,
23.0,
23.0,
23.0,
