DUT,REF
-2.4,5.8
0.6,4.0
-0.2,4.8
0.5,9.0
0.6,4.3
1.2,-0.1
1.3,9.9
-1.1,9.5
0.3,4.2
0.7,3.9
2.3,0.3
11.1,6.7
15.6,5.4
11.7,4.3
9.9,8.9
8.5,14.8
11.6,14.1
8.8,13.6
8.2,13.7
6.0,13.3
6.5,13.2
10.3,14.5
9.6,10.8
9.1,12.1
7.0,6.8
5.5,10.6
4.3,12.0
4.7,11.4
6.7,9.6
8.2,8.9
9.2,7.1
11.3,8.3
11.5,9.4
12.1,10.2
13.0,11.0
14.1,12.1
15.6,12.1
16.4,13.8
16.4,13.8
16.9,14.1
17.4,16.0
17.8,17.4
17.9,17.2
18.0,16.7
17.5,17.9
17.9,17.8
18.3,18.3
18.5,18.5
18.3,18.0
18.2,18.1
18.2,18.1
18.6,18.1
18.6,18.3
18.6,18.4
18.5,18.5
18.6,18.4
18.6,18.5
18.7,18.5
18.6,18.5
18.6,18.6
18.7,18.5
18.7,18.6
18.7,18.6
18.6,18.6
18.7,18.6
18.6,18.6
18.6,18.6
18.6,18.7
18.6,18.7
18.7,18.7
18.6,18.7
18.7,18.8
18.8,18.6
19.1,18.7
19.1,19.0
18.9,18.8
18.9,18.7
18.7,18.6
18.8,18.9
18.9,19.0
18.9,18.9
19.1,18.9
19.2,18.8
19.1,18.9
19.0,19.0
19.4,19.1
19.5,19.3
19.5,19.5
19.7,19.1
19.5,19.3
19.2,19.5
19.3,19.5
19.3,19.5
19.4,19.6
19.3,19.5
19.2,19.3
19.3,19.2
19.0,19.3
19.2,19.3
19.2,19.2
19.0,19.3
19.0,19.3
19.4,19.1
19.0,19.2
19.0,19.5
19.0,19.3
19.2,19.4
19.0,19.2
19.0,19.5
19.0,19.0
19.3,19.1
19.3,19.0
19.5,19.2
19.7,19.0
19.6,19.1
19.7,19.4
19.7,19.2
19.8,19.6
19.8,19.8
19.7,19.7
19.8,19.7
19.8,19.7
19.8,19.8
20.0,19.8
20.0,19.9
20.0,19.8
20.3,19.8
20.3,19.9
20.3,19.8
20.2,20.0
20.6,20.1
20.6,20.3
20.6,20.4
20.7,20.2
20.8,20.3
20.3,20.8
20.1,20.8
20.1,20.7
20.1,20.8
20.0,20.3
20.0,20.3
20.0,20.2
20.0,20.2
20.0,20.1
20.0,20.2
20.2,20.2
20.3,20.1
20.4,20.1
20.3,20.0
20.4,20.4
20.3,20.3
20.1,20.4
20.1,20.0
20.5,20.4
20.1,20.3
20.0,20.5
20.0,20.1
19.9,20.5
19.9,20.5
19.8,20.1
19.8,20.1
19.9,20.0
19.7,19.9
19.7,20.0
19.9,19.8
19.9,19.5
19.9,19.5
19.9,19.5
19.8,19.8
19.9,19.7
19.9,19.7
19.9,19.7
19.9,19.5
20.0,20.0
20.0,19.9
20.0,19.9
20.0,19.9
20.1,20.1
20.0,20.0
20.1,20.0
19.9,20.1
20.0,19.9
19.9,20.0
19.9,20.1
19.9,21.4
19.9,19.9
19.8,19.9
19.9,19.8
20.0,19.8
20.0,19.7
20.0,19.7
20.0,19.9
20.0,20.1
20.0,20.3
20.0,20.0
20.0,20.0
19.9,20.1
20.0,22.6
20.0,20.0
20.0,20.9
20.0,20.4
20.0,22.4
20.0,20.5
20.0,20.0
20.0,20.0
20.1,20.5
20.0,23.0
20.0,22.8
20.0,20.9
20.0,20.0
20.0,20.6
19.9,22.7
19.9,22.7
20.0,22.9
20.0,21.0
19.9,19.9
19.9,20.0
19.9,19.9
19.9,20.0
19.9,19.9
19.9,19.8
20.0,19.8
19.9,19.8
19.9,19.9
19.8,19.9
19.9,19.8
19.8,19.8
19.9,19.9
19.9,21.3
19.8,21.1
20.0,19.8
19.9,19.7
19.9,19.9
19.9,20.0
19.9,20.0
19.9,20.0
20.0,20.0
20.0,20.0
20.0,22.3
20.6,22.9
22.9,23.0
21.6,23.0
22.8,23.0
21.2,23.0
20.2,23.0
21.0,23.0
,23.0
,23.0
,23.0
,23.0
,22.5
,22.2
,22.9
,22.6
