PC2,PC3
-78.0,
-79.0,
-79.0,
-76.75,
-84.0,
-84.0,-77.0
-76.0,
-77.5,
-73.0,
-74.0,
-76.0,-76.0
-76.0,
-74.0,
-73.0,-81.0
-74.75,-78.41
-74.66,-78.24
-75.31,-77.6
-75.56,-76.57
-75.71,-77.2
-74.78,-76.89
-74.29,-76.25
-74.14,-76.28
-74.33,-76.37
-74.53,-76.83
-74.58,-77.21
-74.51,-75.38
-73.94,-75.86
-74.56,-77.29
-74.68,-76.6
-74.5,-75.72
-74.16,-75.75
-74.02,-76.07
-73.83,-75.95
-74.58,-76.64
-74.26,-76.2
-73.97,-75.78
-74.13,-75.84
-74.26,-75.89
-74.03,-75.4
-74.09,-75.71
-73.84,-75.86
-73.83,-75.92
-73.73,-75.66
-74.09,-75.8
-73.26,-75.43
-73.63,-75.47
-73.65,-75.55
-73.32,-76.17
-73.39,-75.97
-74.16,-75.79
-73.72,-78.22
-75.15,-77.24
-76.54,-77.0
-77.98,-77.58
-77.91,-81.58
-77.89,-80.06
-80.67,-80.63
-87.93,-87.0
-86.4,-86.5
-85.7,-85.62
-82.7,-82.3
-77.78,-81.65
-89.07,-90.08
-94.52,-95.0
-95.35,-95.96
-95.25,-94.0
-95.55,-95.35
-94.92,-94.79
-95.29,-94.39
-94.59,-95.85
-96.5,-96.9
-96.94,-97.38
-97.57,-98.03
-99.33,-100.37
-99.83,-100.17
-102.74,-102.45
-105.03,-103.33
-106.07,-105.8
-107.04,-106.28
-107.13,-106.5
-107.81,-107.45
-102.9,-101.78
-103.96,-105.65
-107.83,-107.11
-105.52,-106.3
-107.4,-107.44
-109.27,-108.4
-109.56,-110.11
-110.67,-110.05
-111.0,-110.78
-110.0,-110.65
-110.39,-109.89
-111.5,-111.0
-113.67,-113.25
-113.9,-114.89
-112.89,-112.55
-112.85,-113.22
-112.83,-112.2
-112.55,-111.56
-111.5,-112.65
-111.85,-111.33
-111.89,-112.05
-113.05,-113.4
-115.83,-115.47
-116.48,-115.0
-114.62,-114.63
-115.17,-113.5
-114.0,-113.5
-114.65,-113.42
-111.17,-112.86
-111.13,-111.58
-115.36,-114.46
-116.86,-116.55
-116.68,-115.67
-116.1,-115.33
-114.67,-115.76
-115.61,-115.67
-115.31,-114.82
-116.25,-115.29
-115.67,-115.13
-116.62,-116.94
-117.0,-116.91
-119.45,-116.63
-119.26,-119.04
-120.43,-118.59
-119.53,-118.53
-119.5,-118.15
-118.84,-118.67
-119.56,-119.74
-119.44,-119.76
-120.44,-119.87
-119.94,-120.0
-119.53,-118.42
-117.9,-117.67
-119.17,-119.36
-116.75,-116.67
-118.77,-118.29
-114.85,-114.86
-114.0,-115.88
-117.64,-115.87
-113.7,-114.62
-115.95,-114.44
-112.47,-114.35
-112.0,-112.84
-115.71,-114.9
-114.36,-115.59
-115.87,-116.81
-116.5,-117.11
-115.74,-112.86
-118.18,-112.28
-116.44,-113.55
-116.4,-115.0
-117.5,-115.35
-118.37,-116.74
-119.5,-117.28
-117.76,-115.79
-118.28,-117.61
-116.85,-117.11
-118.73,-117.81
-118.45,-116.0
-119.79,-117.06
-121.14,-119.57
-121.24,-120.75
-120.9,-121.89
-123.33,-123.42
-123.04,-122.6
-123.48,-122.18
-123.43,-124.48
-122.39,-123.48
-122.08,-122.28
-120.82,
-118.93,-118.38
-118.17,-116.26
-118.04,-116.04
-117.87,-116.67
-117.85,-117.52
-115.0,-114.3
-112.0,-112.31
-112.25,-112.05
-114.19,-114.21
-115.25,-114.19
-115.81,-114.81
-115.97,-115.58
-115.33,-114.97
-118.23,-118.41
-119.33,-118.4
-120.07,-119.77
-120.67,-119.85
-122.7,-121.43
-121.63,-120.59
-121.4,-120.1
-121.1,-119.78
-118.26,-117.2
-118.43,-117.48
-117.63,-116.23
-115.17,-114.37
-116.67,-115.82
-117.27,-118.12
-116.04,-114.52
-117.86,-116.53
-117.83,-116.0
-116.88,-117.07
-117.89,-117.5
-117.32,-117.06
-117.67,-117.48
-118.43,-118.33
-120.06,-119.5
-120.9,-120.45
-120.17,-119.42
-119.92,-118.55
-120.75,-119.81
-119.1,-118.45
-120.2,-119.58
-120.44,-120.02
-120.1,-118.72
-119.47,-117.57
-118.48,-117.52
-117.03,-116.97
-117.08,-116.02
-118.19,-116.36
-117.75,-116.72
-117.69,-117.0
-118.75,-117.78
-117.92,-117.47
-118.1,-118.35
-117.78,-117.97
-116.08,-116.88
-116.0,-116.39
-116.65,-116.47
-117.94,-116.81
-118.02,-117.63
-117.14,-116.36
-116.52,-117.15
-117.82,-117.36
-117.61,-116.3
-114.7,-114.56
-114.5,-114.8
-118.3,-118.78
-119.11,-119.2
-120.25,-116.35
-115.28,-105.29
-113.18,-101.18
-114.81,-103.16
-116.97,
-118.42,
-119.0,
-119.39,
-117.84,
-118.67,
-118.57,
-117.78,
-116.47,
-114.56,
-115.29,
-116.0,
-117.47,
-117.91,
-118.0,
-118.05,
-119.33,
-122.12,
-121.83,
-121.85,
-121.08,
-121.68,
-122.08,
-120.92,
-122.25,
-121.85,
-123.94,
-123.42,
-121.94,
-120.52,
-120.44,
-121.65,
-122.97,
-120.69,
-117.7,
-118.47,
-119.76,
-121.62,
-119.1,
-119.39,
-118.65,
-120.78,
-122.77,
-123.17,
-123.18,
-124.61,
-125.35,
-126.38,
-127.41,
-126.05,
-126.11,
-127.32,
-124.78,
-124.5,
-124.22,
-124.0,
