PC2,PC3
17.2,5.5
16.8,5.3
16.1,5.5
16.2,6.3
16.3,5.9
15.0,6.0
15.5,7.0
16.7,7.6
15.4,6.3
14.3,4.9
16.2,6.4
15.0,5.4
16.4,7.4
13.6,4.6
15.2,5.9
16.4,6.9
13.8,4.0
15.6,6.3
14.7,5.3
16.0,7.0
15.3,6.3
14.5,5.0
16.3,6.7
16.5,6.8
15.5,5.4
14.9,5.3
16.6,7.2
16.2,7.1
17.3,8.0
16.3,7.1
17.3,8.3
17.1,5.9
15.3,5.9
16.6,6.9
16.4,7.1
14.4,5.6
15.5,13.9
15.1,15.4
12.9,16.8
17.3,16.7
14.8,16.6
15.1,16.7
16.3,17.2
17.4,17.0
13.7,16.1
13.1,16.2
14.7,14.6
15.5,12.4
18.2,17.2
19.0,18.2
19.0,18.1
19.0,17.7
19.0,17.8
19.0,18.2
18.9,17.7
18.8,17.3
18.9,17.7
18.7,17.5
18.6,17.0
19.1,17.4
19.1,17.8
19.4,18.3
19.1,18.0
19.1,18.1
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.3,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.3
19.0,18.4
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.2,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.3,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.0,18.0
18.2,18.0
19.0,18.3
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.1,18.0
19.1,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.0
19.0,18.8
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,21.2
19.0,19.2
19.0,19.0
