PC2,PC3
,-81.12
-78.41,-76.28
-79.02,-74.7
-77.99,-84.27
-82.88,-86.86
-85.37,-78.6
-77.89,-76.59
-73.5,-73.49
-74.24,-81.28
-78.94,-87.06
-88.4,-90.45
-93.5,-84.05
-87.52,-80.91
-89.3,-84.5
-89.01,-89.99
-93.47,-87.58
-88.97,-86.09
-85.32,-86.89
-88.4,-81.78
-88.4,-82.85
-88.96,-85.61
-88.81,-87.25
-88.9,-85.53
-85.65,-83.11
-84.72,-84.31
-83.88,-85.92
-82.68,-86.52
-85.28,-87.07
-84.85,-87.68
-86.82,-88.94
-87.8,-88.47
-87.65,-89.67
-88.62,-89.38
-89.85,-90.93
-89.62,-96.08
-95.4,-92.78
-93.69,-97.35
-97.24,-95.07
-96.7,-97.39
-97.93,-96.02
-96.4,-100.3
-96.97,-101.31
-99.72,-96.99
-95.64,-94.41
-93.8,-93.57
-92.4,-95.27
-93.74,-96.28
-93.61,-96.51
-94.11,-98.97
-98.4,-101.77
-98.66,-102.07
-100.8,-103.16
-97.15,-103.58
-98.69,-103.9
-100.32,-103.01
-103.18,-98.72
-99.84,-101.76
-101.58,-103.65
-100.23,-110.18
-104.79,-108.18
-105.85,-105.34
-104.61,-108.91
-106.52,-109.06
-105.79,-103.03
-103.97,-102.73
-103.83,-101.62
-103.24,-101.38
-103.11,-100.79
-102.85,-99.95
-100.35,-98.38
-102.13,-101.25
-104.75,-101.86
-106.6,-102.92
-106.24,-102.87
-107.94,-99.54
-102.66,-100.24
-102.28,-100.13
-100.81,-101.1
-99.72,-102.2
-99.78,-102.42
-100.49,-101.68
-99.7,-103.57
-101.88,-105.28
-104.3,-105.42
-107.51,-107.69
-108.51,-112.85
-110.65,-112.26
-113.48,-108.45
-110.61,-107.82
-109.74,-106.84
-108.49,-103.26
-107.7,-101.79
-104.42,-105.7
-108.67,-107.49
-111.43,-108.83
-112.47,-111.01
-115.68,-110.96
-115.96,-109.36
-110.93,-110.54
-109.22,-112.61
-110.38,-110.72
-110.93,-110.15
-110.67,-112.56
-112.83,-113.36
-112.7,-112.13
-114.37,-112.6
-112.95,-112.95
-110.83,-114.86
-109.87,-115.08
-110.64,-114.6
-110.27,-113.5
-112.09,-111.64
-113.05,-114.32
-112.37,-116.23
-113.85,-116.21
-115.55,-115.66
-116.86,-115.95
-115.61,-113.88
-115.74,-113.18
-111.6,-114.77
-113.0,-116.2
-113.94,-116.22
-113.64,-115.02
-113.73,-113.82
-111.57,-115.15
-113.55,-118.49
-115.9,-116.65
-114.75,-116.17
-116.03,-116.0
-117.09,-117.01
-116.13,-117.34
-117.23,-115.81
-114.42,-114.29
-114.85,-115.58
-116.67,-116.57
-114.91,-117.8
-117.09,-116.87
-115.96,-118.43
-117.97,-117.02
-117.6,-117.06
-116.95,-115.11
-116.59,-113.99
-113.85,-116.25
-114.21,-113.32
-113.79,-115.16
-116.01,-110.17
-112.99,-109.66
-110.15,-111.19
-110.42,-111.41
-111.12,-110.41
-110.81,-108.21
-108.61,-108.4
-109.09,-110.25
-108.32,-105.78
-104.88,-103.08
-101.28,-102.89
-103.33,-107.2
-104.0,-107.77
-103.76,-109.68
-106.69,-111.09
-109.05,-109.04
-103.54,-108.76
-102.97,-109.53
-104.8,-109.63
-104.93,-108.05
-104.89,-106.33
-105.15,-108.2
-106.59,-107.22
-108.04,-108.52
-108.04,-108.46
-105.87,-107.88
-106.35,-108.01
-109.01,-109.24
-107.44,-108.31
-106.34,-106.62
-108.76,-106.43
-106.68,-107.05
-107.2,-105.51
-107.36,-108.21
-108.44,-107.0
-110.04,-107.63
-107.83,-108.02
-107.44,-107.72
-107.67,-107.95
-108.35,-110.03
-107.18,-110.1
-108.68,-108.89
-106.9,-108.14
-106.35,-108.28
-110.77,-109.07
-107.07,-108.03
-107.97,-108.15
-107.02,-108.84
-105.21,-108.68
-102.5,-109.81
-103.36,-109.15
-103.05,-106.43
-102.88,-106.33
-105.0,-104.54
-104.37,-108.36
-105.12,-109.14
-106.09,-107.64
-111.33,-106.14
-106.78,-106.56
-104.81,-103.71
-109.67,-106.74
-105.58,-109.42
-105.52,-108.67
-107.03,-110.09
-105.95,-105.91
-106.7,-108.27
-106.99,-107.64
-106.16,-108.21
-106.41,-108.75
-106.3,-109.06
-106.61,-105.95
-104.89,-105.9
-108.75,-109.24
-110.05,-112.13
-111.51,-109.2
-108.07,-108.51
-109.51,-107.53
-107.88,-109.96
-106.49,-111.76
-106.54,-111.41
-105.91,-108.37
-106.06,-117.47
-110.89,-127.16
-120.27,-115.9
-115.88,-108.51
-109.63,-124.63
-121.34,-140.45
-141.8,-137.51
-143.71,
-152.34,
