PC2,PC3
20.2,22.6
23.0,23.3
23.0,22.5
23.2,20.6
22.6,20.9
17.1,14.4
19.1,8.7
16.4,6.6
11.1,4.7
9.4,7.7
1.8,5.8
3.0,9.6
3.7,8.3
5.5,3.3
7.7,5.6
5.8,6.2
6.7,7.6
4.4,5.7
4.0,7.8
6.1,7.3
4.7,7.9
4.5,13.0
8.3,12.0
9.0,4.8
11.2,4.1
11.5,5.8
11.8,8.7
13.4,16.5
16.0,14.4
20.1,12.2
17.1,7.6
14.5,11.9
15.7,13.5
18.8,15.7
20.2,17.6
19.7,19.2
20.8,20.1
21.3,17.8
20.9,16.9
20.3,18.3
18.7,18.4
18.7,19.8
19.4,20.1
20.2,22.3
21.2,23.1
22.0,22.8
23.0,17.1
23.3,19.7
21.6,17.6
22.0,23.1
22.2,21.7
23.1,23.0
23.4,22.9
23.2,23.0
23.6,21.6
23.7,22.7
23.3,23.2
22.9,23.7
22.1,23.7
22.8,23.2
23.4,22.5
20.9,21.7
21.6,23.1
20.6,23.1
21.7,22.9
22.1,23.9
23.7,24.0
23.5,23.8
23.5,24.0
23.7,24.0
24.1,23.9
24.9,24.0
24.4,23.8
24.5,23.9
24.8,23.9
24.5,23.6
24.3,23.9
24.3,23.9
25.2,23.7
24.8,23.6
24.9,23.9
24.4,23.7
24.4,24.0
25.2,23.4
