PC3,PC2
14.6,18.7
16.3,18.0
15.2,18.1
11.5,18.7
10.9,14.7
7.9,14.2
7.7,14.7
6.8,13.1
8.8,11.8
6.6,10.6
4.3,10.8
-0.8,6.5
1.3,15.4
5.2,19.3
5.6,19.2
1.1,10.6
-4.4,9.0
0.5,16.0
3.3,16.2
-1.1,9.4
-2.4,5.8
1.4,4.4
1.0,3.1
-3.1,2.5
-3.4,-2.3
-13.0,-9.1
-10.2,-9.6
-15.7,-17.0
-13.5,-11.2
-16.0,-10.2
-12.7,-19.0
-5.3,-8.3
-7.6,-8.5
-9.0,-17.5
-12.2,-13.0
-14.2,-8.7
-13.4,-3.9
-7.8,-4.0
-1.3,-3.7
-3.6,3.3
-2.4,2.1
-3.0,-2.1
-4.4,-9.2
-9.5,-9.7
-8.4,-2.8
-5.9,3.1
-10.6,0.1
-10.8,0.8
-10.1,-7.1
-12.0,-7.0
-5.0,-4.9
-8.0,-4.8
-5.0,-1.7
-3.8,-3.0
-3.9,0.2
-6.2,-5.4
-3.2,-8.2
-1.7,-5.8
-2.3,-6.2
-0.7,-4.6
-1.2,-3.0
-1.1,-0.9
0.8,1.1
4.5,7.6
4.5,7.2
5.3,2.9
5.2,-1.1
3.2,1.0
-0.2,-1.1
4.5,2.5
5.9,7.0
6.5,4.2
7.2,5.3
6.0,6.6
4.7,4.9
5.2,7.4
3.1,7.3
5.0,7.8
1.3,5.3
3.8,5.6
3.5,5.0
1.8,3.4
0.9,2.5
1.9,3.6
5.5,4.7
3.3,4.6
4.7,4.1
6.5,5.0
4.4,7.1
9.8,8.8
6.5,11.0
8.2,9.0
4.9,8.6
6.6,9.0
6.6,8.7
8.3,7.8
9.8,9.6
14.1,11.8
10.9,11.2
13.7,15.3
13.9,16.9
17.0,12.4
16.0,18.7
17.3,16.0
14.0,11.4
15.4,13.3
18.0,11.0
13.0,20.0
13.0,16.0
13.7,14.5
15.5,13.2
17.8,12.7
17.0,14.0
14.0,12.2
14.2,14.0
17.1,14.8
17.0,17.2
16.3,18.7
16.7,20.0
14.7,16.0
15.2,20.0
19.5,20.0
19.8,20.0
20.0,21.2
20.0,20.5
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.3
20.0,20.0
20.0,20.0
18.6,19.8
19.3,20.0
18.6,18.5
13.9,18.0
16.0,19.4
13.0,19.1
13.8,19.3
17.1,16.3
20.0,19.5
14.8,15.0
15.0,12.0
16.2,11.1
12.0,17.0
11.2,18.5
12.0,20.0
6.0,19.3
9.4,18.8
13.0,19.4
11.8,20.0
13.2,20.0
11.6,17.7
12.7,20.0
14.4,20.0
14.0,20.0
19.1,16.5
17.1,20.0
12.0,19.1
11.8,16.5
20.7,18.0
12.6,19.4
14.8,18.8
12.0,19.7
11.5,15.5
9.5,20.0
11.2,17.7
15.0,17.0
9.0,19.0
16.1,14.5
13.2,20.0
10.0,12.0
4.0,16.9
8.3,16.2
10.5,12.6
10.5,15.0
17.7,19.7
15.7,17.6
15.9,17.8
11.0,14.8
14.2,16.7
16.5,19.5
15.6,20.0
14.8,19.5
