PC2,PC3
-72.13,-71.14
-71.9,-71.84
-64.8,-75.88
-63.93,-73.36
-65.9,-76.93
-68.05,-69.11
-69.99,-71.14
-70.05,-67.53
-71.44,-69.96
-73.1,-69.96
-73.69,-71.79
-77.57,-76.04
-78.27,-77.26
-76.67,-78.18
-74.59,-76.01
-73.95,-76.54
-72.93,-78.12
-77.2,-78.63
-77.25,-78.33
-77.43,-72.66
-80.75,-76.18
-81.61,-78.85
-77.79,-79.12
-81.42,-75.31
-75.03,-76.84
-74.94,-74.88
-73.62,-73.46
-73.18,-73.98
-73.68,-72.16
-71.88,-70.7
-68.39,-75.51
-66.36,-77.29
-73.04,-79.22
-79.9,-78.16
-78.25,-78.58
-76.5,-80.19
-78.66,-79.06
-76.51,-78.92
-75.72,-78.35
-77.43,-77.84
-78.27,-77.77
-80.02,-78.0
-81.23,-79.03
-83.26,-77.61
-81.11,-75.41
-78.65,-75.1
-78.04,-75.73
-76.96,-75.89
-77.12,-75.34
-75.06,-74.7
-77.44,-75.43
-78.49,-75.62
-78.17,-76.49
-78.0,-79.0
-75.6,-76.44
-76.84,-78.72
-77.3,-81.24
-78.03,-83.05
-78.53,-79.62
-77.3,-82.02
-76.16,-77.44
-78.25,-76.8
-78.3,-75.8
-76.7,-78.19
-78.56,-78.01
-77.51,-76.15
-77.4,-74.66
-77.05,-74.53
-78.95,-76.6
-79.96,-76.78
-77.56,-77.12
-76.98,-73.14
-78.69,-73.42
-78.28,-74.75
-79.68,-72.42
-79.39,-76.72
-75.92,-76.28
-76.31,-74.71
-77.12,-74.15
-82.05,-83.96
-84.72,-83.1
-84.0,-85.95
-86.02,-85.1
-85.81,-87.08
-85.01,-87.47
-87.53,-86.78
-89.13,-88.43
-87.28,-88.08
-87.45,-88.42
-86.54,-87.3
-85.59,-87.0
-85.38,-85.4
-84.49,-81.95
-80.61,-80.24
-84.26,-82.79
-84.1,-84.97
-84.78,-86.64
-84.57,-85.36
-85.11,-82.19
-84.39,-80.7
-83.12,-82.81
-82.05,-82.26
-83.44,-79.49
-86.24,-83.12
-85.23,-83.9
-83.59,-83.42
-86.0,-86.37
-87.47,-84.56
-88.62,-85.73
-85.73,-85.18
-86.63,-87.21
-88.97,-87.1
-87.56,-89.27
-88.39,-88.4
-86.2,-86.5
-88.18,-89.07
-87.31,-88.17
-88.21,-87.56
-86.87,-84.32
-87.39,-82.95
-86.64,-85.9
-88.82,-88.64
-87.64,-90.63
-85.93,-84.01
-86.79,-84.36
-91.19,-90.81
-94.35,-93.67
-95.75,-93.18
-93.86,-94.92
-94.6,-98.13
-91.72,-98.3
-92.38,-95.15
-93.68,-95.37
-95.44,-96.77
-94.25,-100.49
-96.58,-99.85
-97.57,-98.54
-98.23,-97.12
-94.49,-97.57
-96.25,-101.8
-98.67,-98.79
-100.64,-101.08
-102.01,-102.23
-102.51,-102.82
-100.68,-101.64
-97.35,-101.43
-96.93,-98.76
-98.93,-100.52
-101.19,-104.2
-102.99,-107.34
-100.35,-106.1
-96.94,-108.11
-97.53,-104.0
-95.01,-104.44
-94.8,-106.46
-97.72,-107.15
-100.21,-106.88
-99.9,-107.8
-100.31,-106.61
-101.96,-107.0
-102.06,-105.47
-101.78,-104.76
-101.27,-104.51
-99.74,-104.35
-101.02,-107.23
-102.66,-112.18
-106.49,-107.6
-107.74,-112.22
-105.42,-123.92
-98.23,-107.82
-99.15,-105.35
-95.79,-105.15
-96.26,-103.49
-99.93,-112.29
-102.8,-105.22
-101.6,-101.99
-102.0,-103.51
-115.03,-103.13
-108.15,-103.44
-106.18,-107.02
-110.77,-110.64
-121.49,-112.59
,-105.62
,-109.4
,-155.84
,-155.99
,-156.0
,-110.13
,-153.42
,-155.85
,-154.8
