PC2,PC3
-7.7,-3.3
-4.4,-1.6
-2.8,-3.4
-1.9,-2.9
-0.9,-2.0
-1.4,1.1
1.4,0.8
2.1,0.6
1.6,0.3
2.3,-2.4
1.6,-1.2
0.7,0.5
4.1,1.7
5.7,1.8
5.6,2.5
5.8,1.5
5.3,1.7
6.4,1.4
4.9,0.3
4.9,1.6
8.7,3.5
6.6,8.0
3.6,5.1
4.1,5.8
6.6,4.1
3.0,2.7
3.1,3.0
1.6,2.4
2.8,1.9
2.3,1.6
4.3,5.8
-0.4,3.2
5.3,2.1
3.5,5.9
7.2,3.9
12.5,8.4
13.0,10.0
13.8,13.6
10.9,8.6
12.9,11.8
14.2,15.7
13.5,16.1
14.4,15.2
13.8,12.9
13.9,14.5
14.0,13.1
14.2,14.6
15.5,15.7
15.1,12.5
9.7,13.3
12.2,13.9
12.2,14.7
14.8,14.1
14.1,15.1
5.1,14.3
2.7,12.2
11.7,12.6
2.3,15.3
12.5,16.2
14.1,17.4
14.6,18.6
14.8,18.0
14.6,17.6
14.4,18.0
14.9,17.2
14.6,17.8
14.5,18.8
14.5,18.3
13.9,18.2
14.0,18.7
13.8,16.9
13.8,16.6
10.9,12.5
2.0,3.3
0.5,3.0
-1.0,2.0
4.4,6.2
8.9,15.9
14.4,17.7
13.9,17.4
14.2,17.1
13.7,17.2
14.0,16.6
14.4,17.1
14.1,16.9
14.3,17.1
14.3,17.7
14.5,17.8
14.1,16.9
13.9,17.5
13.6,15.3
11.9,6.3
4.0,6.0
3.3,5.7
3.3,13.8
3.5,4.6
8.2,4.3
-0.2,10.8
13.2,17.3
14.1,17.0
15.2,16.8
15.1,17.8
14.8,17.7
15.0,17.3
13.3,17.0
13.7,16.2
13.7,17.4
14.9,17.5
14.1,17.6
15.1,18.5
16.5,18.3
16.4,17.0
15.6,17.2
15.7,16.2
13.0,18.1
17.3,18.5
17.0,19.0
17.6,20.3
16.5,19.3
18.3,20.5
16.7,20.0
17.1,20.8
18.6,20.4
17.5,19.5
16.6,20.9
18.2,20.5
17.9,20.0
18.7,20.9
18.5,20.6
18.7,20.8
19.4,21.5
17.1,21.0
18.3,20.8
16.9,19.4
17.5,19.8
17.2,18.1
14.5,17.7
15.2,17.8
13.8,19.9
16.0,18.0
14.4,16.6
15.8,19.1
14.5,18.3
18.3,19.3
17.5,20.7
18.8,21.1
17.9,21.0
17.0,19.5
16.9,20.2
18.0,20.8
17.8,20.7
18.4,21.6
18.6,21.5
19.6,21.8
20.1,21.4
18.3,21.2
18.8,21.2
18.9,21.1
18.7,21.7
20.4,21.5
16.3,16.6
16.7,18.6
17.5,16.0
15.6,18.0
18.1,20.5
16.9,21.1
19.3,21.6
18.8,21.4
18.6,21.0
19.2,21.6
19.0,21.6
19.3,21.9
19.1,21.9
19.4,21.2
18.9,21.1
19.1,20.8
19.4,21.4
20.0,21.5
19.4,21.3
19.6,20.7
18.4,15.0
15.6,14.0
12.6,15.0
12.6,14.2
15.3,15.2
16.1,18.5
13.4,14.5
7.6,10.1
16.8,20.5
19.8,22.1
19.0,21.9
19.5,21.6
19.8,21.5
19.7,21.1
19.4,21.7
19.8,21.3
19.4,21.4
19.1,21.3
19.7,21.5
20.1,21.5
19.9,21.3
19.2,21.5
20.2,22.0
20.9,17.0
21.8,14.9
18.3,14.0
19.0,20.4
19.1,18.1
13.1,20.6
11.3,20.7
8.9,16.7
16.2,20.6
17.1,19.9
16.1,18.2
17.4,19.7
17.5,20.5
17.7,19.5
17.5,19.1
18.4,21.0
18.3,20.4
18.0,19.3
18.3,18.9
18.5,20.4
18.9,20.6
19.6,22.2
20.1,21.9
18.9,21.8
20.0,21.5
20.6,23.0
21.3,22.7
20.6,22.6
21.0,23.4
21.4,22.8
24.0,22.0
22.3,22.4
22.1,23.1
22.3,23.8
21.2,23.8
21.2,23.8
21.3,23.8
21.2,23.8
21.2,23.9
21.2,23.8
21.2,23.7
21.2,23.7
21.3,23.8
21.3,23.8
21.3,23.9
21.2,23.8
21.2,23.8
21.2,23.8
21.1,23.7
21.2,23.8
21.5,23.9
21.5,23.9
22.4,23.4
22.7,24.4
23.4,24.3
22.5,24.1
22.5,24.4
23.4,24.6
22.9,22.9
22.4,23.6
22.4,19.5
