PC2,PC3
0.5,0.7
3.1,0.7
3.1,-2.2
5.9,-0.7
-2.4,0.4
-3.4,-2.9
-5.8,-3.9
-3.4,-2.1
-4.2,-2.3
-3.0,-3.8
-0.8,-2.9
-2.1,-0.9
4.3,3.0
2.8,1.5
2.7,1.5
2.9,0.6
5.3,2.4
6.0,8.6
5.6,4.3
4.3,4.7
7.0,7.6
7.1,7.5
6.6,6.8
4.9,5.7
6.9,4.9
1.2,1.0
6.8,0.9
1.8,2.1
0.9,2.1
4.3,1.0
6.6,4.0
4.9,2.7
8.4,10.5
7.1,8.8
8.4,7.6
12.4,10.8
14.7,15.3
14.0,14.6
15.5,13.2
15.4,13.1
15.9,12.7
15.5,15.9
15.2,17.0
14.3,17.7
14.4,17.3
13.5,17.2
12.2,16.9
13.5,17.1
12.1,14.7
7.6,9.5
8.6,9.9
11.3,11.7
10.8,10.5
8.9,9.8
10.6,9.7
5.9,11.3
8.0,3.1
8.3,3.7
14.7,13.0
13.7,13.9
14.0,16.0
13.8,16.9
14.0,16.5
15.9,16.2
15.8,16.9
15.1,16.7
15.0,17.1
15.4,16.4
14.8,17.4
15.2,17.2
13.6,15.5
14.3,16.7
11.8,14.8
10.0,12.7
11.0,13.8
11.3,13.5
8.5,12.9
12.1,14.8
12.7,17.7
16.0,17.2
16.1,18.9
17.3,18.6
17.8,19.9
19.8,21.5
19.5,21.0
19.4,21.7
19.4,21.6
19.5,21.4
18.9,21.4
19.1,21.1
19.0,21.3
19.1,21.0
17.6,20.7
17.3,19.4
17.9,19.6
17.9,19.1
18.7,19.9
16.9,20.1
15.6,19.9
17.3,19.3
14.7,19.7
15.8,18.4
15.3,18.3
17.3,19.9
15.8,19.7
17.3,18.8
19.6,21.5
18.9,21.0
18.5,20.6
19.0,20.3
18.8,20.8
18.4,20.9
18.5,21.2
18.3,20.4
18.2,21.0
19.3,20.9
18.0,19.9
18.0,19.5
17.7,19.4
18.2,19.0
17.6,19.7
19.2,19.7
17.4,18.2
17.6,18.3
17.7,20.2
19.6,21.7
19.8,22.2
20.2,21.6
20.4,22.0
21.1,21.0
20.6,21.8
21.3,23.7
21.3,23.8
21.3,23.9
21.3,23.7
21.1,23.8
21.1,23.7
21.3,23.7
21.1,23.7
21.2,23.8
21.2,23.8
21.2,23.7
21.2,23.7
21.1,23.7
21.2,23.7
21.2,23.1
21.7,23.1
22.3,23.6
22.4,24.5
22.5,24.8
22.5,24.1
22.7,23.3
22.7,23.4
22.5,22.2
22.1,23.9
21.5,23.7
22.0,24.4
21.7,24.0
21.2,23.8
21.5,24.0
21.4,23.9
21.4,23.9
21.5,23.7
21.5,23.8
21.6,23.8
21.8,24.2
21.9,23.9
22.3,24.3
22.2,24.1
21.7,23.7
21.6,23.1
22.3,21.5
22.4,22.8
22.3,22.9
21.9,23.5
22.7,23.9
22.2,24.0
22.7,24.4
22.5,24.9
