PC2,PC3
-73.71,-71.73
-75.66,-71.01
-75.94,-70.01
-74.59,-72.07
-74.84,-76.19
-74.06,-76.68
-74.4,-77.42
-75.48,-79.61
-74.91,-79.63
-72.51,-78.78
-73.97,-78.12
-82.46,-79.69
-76.52,-77.51
-77.08,-72.66
-79.88,-76.93
-79.61,-77.08
-78.39,-80.52
-80.61,-76.91
-78.17,-76.08
-74.69,-73.81
-76.27,-75.52
-75.84,-77.66
-73.79,-75.45
-71.68,-75.33
-76.63,-75.85
-70.75,-73.77
-68.85,-74.62
-70.94,-78.04
-76.19,-83.75
-80.03,-81.06
-75.85,-80.86
-76.93,-81.63
-78.49,-79.62
-80.46,-78.78
-77.6,-80.64
-78.69,-79.24
-81.37,-79.2
-81.7,-80.17
-82.7,-78.95
-81.95,-78.22
-81.23,-75.97
-80.45,-76.56
-78.6,-76.9
-78.34,-76.0
-78.12,-76.91
-78.27,-76.83
-78.36,-75.4
-79.24,-74.92
-79.39,-74.87
-77.93,-76.37
-77.79,-77.81
-76.96,-77.77
-75.8,-77.53
-76.47,-79.35
-75.56,-78.17
-74.68,-76.5
-73.08,-77.12
-73.85,-79.15
-75.01,-75.62
-73.68,-74.29
-79.26,-75.26
-82.28,-77.78
-82.99,-80.79
-83.02,-79.85
-82.62,-80.56
-86.72,-83.9
-82.73,-81.74
-85.37,-79.57
-87.2,-81.86
-87.62,-83.94
-87.93,-85.68
-84.47,-81.94
-83.84,-79.01
-83.75,-78.09
-82.69,-76.1
-83.03,-78.9
-84.02,-78.5
-85.29,-78.13
-86.34,-78.95
-86.1,-78.24
-84.98,-87.32
-84.38,-83.0
-88.25,-77.97
-86.65,-81.8
-86.43,-82.77
-86.88,-80.93
-87.25,-80.45
-84.98,-81.4
-83.18,-79.47
-84.4,-79.22
-86.52,-77.71
-86.9,-77.99
-86.99,-78.4
-82.1,-80.14
-83.99,-79.95
-83.3,-81.67
-82.54,-82.93
-85.48,-82.58
-87.27,-82.97
-85.36,-82.32
-84.35,-84.14
-88.91,-84.21
-85.34,-83.72
-83.66,-87.31
-84.52,-86.72
-84.37,-83.0
-85.39,-83.87
-85.84,-83.16
-86.7,-82.07
-87.11,-81.32
-87.4,-83.44
-85.36,-81.59
-83.7,-84.37
-85.04,-82.77
-85.08,-80.83
-84.74,-79.85
-83.74,-79.2
-84.58,-77.29
-86.81,-81.42
-82.77,-81.76
-79.87,-76.18
-79.14,-74.98
-80.46,-75.1
-81.3,-77.69
-80.7,-78.34
-79.22,-76.99
-78.61,-75.2
-79.34,-75.59
-81.61,-76.03
-88.05,-80.75
-88.68,-86.23
-92.11,-89.69
-93.02,-90.44
-89.58,-91.1
-90.08,-87.92
-89.78,-89.02
-92.79,-88.92
-94.33,-91.33
-93.9,-93.77
-97.52,-94.87
-97.33,-95.79
-95.63,-95.64
-96.45,-95.32
-97.29,-95.03
-98.09,-96.89
-97.59,-96.43
-98.26,-96.8
-101.97,-98.12
-101.03,-100.38
-99.04,-103.07
-99.99,-102.29
-103.15,-102.06
-103.27,-99.66
-99.21,-99.67
-99.04,-101.0
-99.7,-104.39
-101.97,-104.46
-100.83,-103.63
-101.12,-102.0
-99.29,-104.49
-101.48,-106.08
-104.38,-106.38
-106.47,-105.52
-107.85,-104.62
-106.32,-104.74
-105.43,-104.22
-103.43,-106.59
-102.86,-108.1
-101.26,-105.4
-104.98,-108.37
-105.18,-107.89
-104.43,-108.32
-102.5,-109.83
-102.11,-104.96
-104.12,-104.43
-108.01,-106.59
-107.97,-107.76
-109.53,-109.31
-104.08,-107.17
-101.56,-101.89
-105.03,-103.33
-111.68,-109.45
-127.79,-119.19
-143.83,-111.89
-110.57,-117.54
-116.38,-121.73
-113.79,-116.29
,-122.5
