PC2,PC3
17.7,25.0
19.2,24.2
20.5,25.2
19.0,26.0
18.5,26.0
17.2,26.0
16.4,26.0
17.5,15.8
18.7,18.0
19.6,19.9
19.5,22.0
19.0,21.2
18.1,21.1
19.1,19.4
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
22.0,26.0
26.0,26.0
26.0,26.0
25.2,26.0
26.0,25.1
26.0,24.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,26.0
26.0,23.5
26.0,24.3
24.8,25.4
23.8,25.4
26.0,24.0
26.0,24.3
26.0,25.0
26.0,24.8
26.0,26.0
26.0,24.7
26.0,25.1
25.5,24.2
24.7,25.5
26.0,24.0
26.0,24.4
25.4,25.3
26.0,24.8
26.0,25.4
25.1,26.0
24.6,26.0
26.0,26.0
25.2,26.0
24.9,25.5
24.7,25.1
24.7,24.8
24.4,24.0
26.0,25.9
