Device,DUT,REF
1,-64.0,-70.0
2,-64.0,-70.0
3,-64.0,-70.0
4,-64.0,-70.0
5,-64.0,-70.0
6,-64.0,-70.0
7,-64.0,-65.0
8,-64.0,-65.0
9,-52.0,-65.0
10,-52.0,-60.0
11,-52.0,-60.0
12,-58.0,-60.0
13,-58.0,-61.0
14,-58.0,-61.0
15,-51.0,-61.0
16,-51.0,-60.0
17,-51.0,-60.0
18,-53.0,-60.0
19,-53.0,-56.0
20,-53.0,-56.0
21,-51.0,-56.0
22,-51.0,-56.0
23,-51.0,-56.0
24,-48.0,-56.0
25,-48.0,-55.0
26,-48.0,-55.0
27,-46.0,-55.0
28,-46.0,-55.0
29,-45.0,-55.0
30,-45.0,-55.0
31,-45.0,-55.0
32,-50.0,-55.0
33,-50.0,-55.0
34,-49.5,-57.0
35,-49.0,-57.0
36,-44.0,-57.0
37,-44.0,-54.0
38,-44.0,-54.0
39,-46.0,-54.0
40,-46.0,-56.0
41,-46.0,-56.0
42,-50.0,-56.0
43,-50.0,-61.0
44,-50.0,-61.0
45,-49.0,-61.0
46,-49.0,-61.0
47,-49.0,-61.0
48,-49.0,-61.0
49,-49.0,-61.0
50,-49.0,-61.0
51,-50.0,-61.0
52,-50.0,-60.0
53,-50.0,-60.0
54,-52.0,-60.0
55,-52.0,-58.0
56,-52.0,-58.0
57,-48.0,-58.0
58,-48.0,-56.0
59,-48.0,-56.0
60,-51.0,-56.0
61,-51.0,-56.0
62,-51.0,-56.0
63,-48.0,-56.0
64,-48.0,-55.0
65,-48.0,-55.0
66,-48.0,-55.0
67,-48.0,-55.0
68,-48.0,-55.0
69,-47.0,-55.0
70,-47.0,-56.0
71,-47.0,-56.0
72,-48.0,-56.0
73,-48.0,-54.0
74,-48.0,-54.0
75,-48.0,-54.0
76,-48.0,-56.0
77,-48.0,-56.0
78,-50.0,-56.0
79,-50.0,-60.0
80,-50.0,-60.0
81,-51.0,-60.0
82,-51.0,-56.0
83,-51.0,-56.0
84,-46.0,-56.0
85,-46.0,-57.0
86,-46.0,-57.0
87,-46.0,-57.0
88,-46.0,-57.0
89,-57.0,-57.0
90,-57.0,-57.0
91,-57.0,-53.0
92,-48.0,-53.0
93,-48.0,-53.0
94,-48.0,-54.0
95,-51.0,-54.0
96,-51.0,-54.0
97,-51.0,-56.0
98,-45.0,-56.0
99,-45.0,-56.0
100,-45.0,-55.0
101,-47.0,-55.0
102,-47.0,-55.0
103,-47.0,-53.0
104,-46.0,-53.0
105,-46.0,-53.0
106,-46.0,-50.0
107,-47.0,-50.0
108,-47.0,-50.0
109,-47.0,-50.0
110,-50.0,-50.0
111,-50.0,-50.0
112,-50.0,-51.0
113,-53.0,-51.0
114,-53.0,-54.0
115,-53.0,-54.0
116,-49.0,-54.0
117,-49.0,-57.0
118,-49.0,-57.0
119,-48.0,-53.0
120,-48.0,-53.0
121,-48.0,-53.0
122,-48.0,-53.0
123,-48.0,-53.0
124,-48.0,-70.0
125,-63.0,-70.0
126,-63.0,-70.0
127,-63.0,-70.0
128,-63.0,-70.0
129,-63.0,-70.0
130,-63.0,-71.0
131,-64.0,-71.0
132,-64.0,-71.0
133,-64.0,-70.0
134,-65.0,-70.0
135,-65.0,-70.0
136,-65.0,-69.0
137,-63.0,-69.0
138,-63.0,-69.0
139,-63.0,-70.0
140,-64.0,-70.0
141,-64.0,-70.0
142,-64.0,-76.0
143,-61.0,-76.0
144,-61.0,-76.0
145,-61.0,-74.0
146,-64.0,-74.0
147,-64.0,-74.0
148,-64.0,-68.0
149,-63.0,-68.0
150,-63.0,-68.0
151,-63.0,-66.0
152,-65.0,-66.0
153,-65.0,-66.0
154,-65.0,-82.0
155,-75.0,0.0
156,-75.0,0.0
157,-75.0,-69.0
158,-76.0,-69.0
159,-76.0,-69.0
160,-76.0,-76.0
161,-77.0,-76.0
162,-77.0,-76.0
163,-77.0,-76.0
164,-75.0,-76.0
165,-75.0,-76.0
166,-65.0,-61.0
167,-65.0,-61.0
168,-65.0,-61.0
169,-59.0,-62.0
170,-59.0,-62.0
171,-59.0,-62.0
172,-59.0,-59.0
173,-59.0,-59.0
174,-59.0,-59.0
175,-59.0,-55.0
176,-59.0,-55.0
177,-59.0,-55.0
178,-60.0,-54.0
179,-60.0,-54.0
180,-60.0,-54.0
181,-60.0,-55.0
182,-60.0,-55.0
183,-60.0,-55.0
184,-59.0,-56.0
185,-59.0,-55.0
186,-59.0,-55.0
187,-47.0,-55.0
188,-47.0,-49.0
189,-47.0,-49.0
190,-45.0,-49.0
191,-45.0,-49.0
192,-45.0,-49.0
193,-47.0,-49.0
194,-47.0,-49.0
195,-47.0,-49.0
196,-47.0,-49.0
197,-47.0,-46.0
198,-47.0,-46.0
199,-50.0,-46.0
200,-50.0,-49.0
201,-50.0,-49.0
202,-46.0,-49.0
203,-46.0,-60.0
204,-46.0,-60.0
205,-51.0,-60.0
206,-51.0,-60.0
207,-51.0,-60.0
208,-52.0,-60.0
209,-52.0,-58.0
210,-52.0,-58.0
211,-52.0,-58.0
212,-52.0,-54.0
213,-52.0,-54.0
214,-49.0,-53.0
215,-49.0,-52.0
216,-49.0,-54.0
217,-49.0,-54.0
218,-49.0,-54.0
219,-49.0,-57.0
220,-50.0,-57.0
221,-50.0,-57.0
222,-50.0,-59.0
223,-48.0,-59.0
224,-48.0,-59.0
225,-48.0,-58.0
226,-54.0,-58.0
227,-54.0,-58.0
228,-54.0,-59.0
229,-52.0,-59.0
230,-52.0,-59.0
231,-52.0,-61.0
232,-57.0,-61.0
233,-57.0,-61.0
234,-57.0,-73.0
235,-44.0,-73.0
236,-44.0,-73.0
237,-44.0,-76.0
238,-50.0,-76.0
239,-50.0,-76.0
240,-50.0,-76.0
241,-50.0,-76.0
242,-50.0,-76.0
243,-50.0,-75.0
244,-47.0,-75.0
245,-47.0,-75.0
246,-47.0,-72.0
247,-43.0,-72.0
248,-43.0,-72.0
249,-43.0,-72.0
250,-49.0,-73.0
251,-49.0,-73.0
252,-49.0,-73.0
253,-54.0,-76.0
254,-54.0,-76.0
255,-54.0,0.0
256,-63.0,0.0
257,-63.0,-68.0
258,-63.0,-68.0
259,-62.0,-68.0
260,-62.0,-67.0
261,-62.0,-67.0
262,-63.0,-67.0
263,-63.0,-68.0
264,-63.0,-68.0
265,-61.0,-68.0
266,-61.0,-70.0
267,-61.0,-70.0
268,-63.0,-70.0
269,-63.0,-71.0
270,-63.0,-71.0
271,-60.0,-71.0
272,-60.0,-61.0
273,-60.0,-61.0
274,-60.0,-61.0
275,-60.0,-59.0
276,-60.0,-59.0
277,-70.0,-59.0
278,-70.0,-57.0
279,-75.0,-57.0
280,-75.0,-58.0
281,-75.0,-58.0
282,-73.0,-58.0
283,-73.0,-61.0
284,-73.0,-61.0
285,-74.0,-61.0
286,-74.0,-59.0
287,-74.0,-59.0
288,-74.0,-59.0
289,-74.0,-56.0
290,-74.0,-56.0
291,-71.0,-56.0
292,-71.0,-52.0
293,-71.0,-52.0
294,-72.0,-52.0
295,-72.0,-51.0
296,-72.0,-51.0
297,-73.0,-51.0
298,-73.0,-57.0
299,-73.0,-57.0
300,-74.0,-57.0
301,-74.0,-57.0
302,-74.0,-57.0
303,-73.0,-57.0
304,-73.0,-57.0
305,-73.0,-57.0
306,-74.0,-57.0
307,-74.0,-57.0
308,-74.0,-57.0
309,-74.0,-57.0
310,-74.0,-57.0
311,-78.0,-57.0
312,-78.0,-57.0
313,-78.0,-53.0
314,-77.0,-53.0
315,-77.0,-53.0
316,-77.0,-55.0
317,-72.0,-55.0
318,-72.0,-55.0
319,-72.0,-53.0
320,-75.0,-53.0
321,-75.0,-53.0
322,-76.0,-52.0
323,-76.0,-52.0
324,-76.0,-52.0
325,-72.0,-52.0
326,-72.0,-52.0
327,-72.0,-52.0
328,-75.0,-55.0
329,-75.0,-55.0
330,-75.0,-55.0
331,-73.0,-50.0
332,-73.0,-50.0
333,-73.0,-50.0
334,-76.0,-49.0
335,-76.0,-49.0
336,-76.0,-49.0
337,-74.0,-50.0
338,-74.0,-50.0
339,-74.0,-50.0
340,-79.0,-50.0
341,-79.0,-50.0
342,-79.0,-50.0
343,-52.0,-50.0
344,-52.0,-50.0
345,-52.0,-50.0
346,-52.0,-53.0
347,-52.0,-53.0
348,-52.0,-53.0
349,-55.0,-49.0
350,-55.0,-49.0
351,-55.0,-49.0
352,-50.0,-48.0
353,-50.0,-48.0
354,-50.0,-48.0
355,-44.0,-52.0
356,-44.0,-52.0
357,-44.0,-52.0
358,-47.0,-52.0
359,-47.0,-52.0
360,-47.0,-52.0
361,-51.0,-51.0
362,-51.0,-51.0
363,-51.0,-51.0
364,-52.0,-51.0
365,-52.0,-55.0
366,-52.0,-55.0
367,-49.0,-55.0
368,-49.0,-56.0
369,-49.0,-56.0
370,-46.0,-56.0
371,-46.0,-55.0
372,-46.0,-55.0
373,-45.0,-55.0
374,-45.0,-70.0
375,-45.0,-70.0
376,-50.0,-70.0
377,-50.0,-70.0
378,-50.0,-70.0
379,-60.0,-70.0
380,-60.0,-68.0
