PC2,PC3
-72.0,-65.88
-71.68,-68.98
-71.45,-70.88
-70.58,-74.03
-72.57,-76.38
-73.52,-75.53
-73.0,-76.21
-72.91,-75.76
-72.78,-75.86
-73.07,-76.07
-74.71,-75.55
-72.83,-75.22
-73.32,-75.52
-73.64,-75.99
-73.53,-78.94
-74.29,-80.13
-73.57,-76.67
-73.3,-76.95
-73.79,-78.53
-73.86,-77.58
-73.15,-76.68
-73.67,-78.47
-79.34,-79.09
-76.07,-78.7
-77.94,-77.07
-81.67,-80.39
-79.28,-76.86
-79.64,-81.0
-80.61,-77.9
-75.51,-78.47
-71.04,-70.91
-75.37,-73.76
-73.33,-73.27
-69.74,-77.05
-73.34,-73.5
-74.47,-75.33
-75.81,-77.07
-74.74,-79.1
-79.44,-77.69
-79.19,-78.56
-78.59,-79.16
-74.17,-81.4
-74.92,-78.44
-73.97,-77.0
-75.4,-77.72
-77.63,-77.98
-79.3,-79.72
-80.62,-79.1
-78.6,-79.18
-78.3,-77.7
-80.65,-76.35
-80.13,-78.73
-74.72,-78.1
-75.57,-82.8
-76.5,-79.41
-77.49,-78.93
-78.21,-76.53
-75.66,-76.35
-74.09,-77.49
-72.93,-78.25
-75.85,-76.48
-77.6,-78.32
-75.26,-78.06
-75.2,-76.62
-74.61,-76.7
-74.91,-76.3
-74.17,-78.09
-73.01,-78.35
-76.76,-75.43
-78.94,-75.44
-79.66,-75.4
-74.24,-76.48
-73.4,-75.98
-75.16,-75.32
-77.01,-75.42
-77.07,-74.26
-76.84,-73.64
-76.67,-74.31
-77.47,-76.27
-94.81,-94.95
-93.55,
-76.59,
-74.62,-75.15
-74.81,-75.3
-76.03,-76.1
-76.96,-75.78
-76.14,-75.69
-74.6,-76.0
-74.75,-76.86
-74.19,-77.26
-74.75,-76.87
-75.09,-77.16
-74.59,-77.58
-74.01,-78.05
-74.39,-77.82
-74.33,-77.53
-74.59,-77.88
-74.44,-77.88
-74.89,-77.59
-75.47,-77.61
-75.16,-77.65
-74.16,-77.49
-74.25,-77.5
-73.81,
-73.75,
-73.68,-77.12
-74.59,-77.77
-74.36,-77.47
-75.22,-76.04
-76.4,-76.54
-75.25,-78.37
-76.08,-78.35
-76.72,-78.07
-76.28,-75.3
-75.79,-73.55
-80.15,-76.26
-79.03,-75.76
-79.12,-73.96
-81.39,-77.17
-80.36,-79.42
-81.02,-80.34
-81.1,-79.12
-83.04,-82.9
-83.77,-82.8
-84.67,-82.98
-85.02,-81.7
-86.58,-83.91
-86.89,-83.97
-86.92,-84.95
-83.84,-83.19
-86.71,-81.68
-84.62,-83.79
-81.77,-81.84
-81.63,-78.98
-84.94,-80.74
-84.32,-82.8
-84.82,-82.3
-85.74,-82.39
-86.08,-84.36
-86.24,-85.32
-86.41,-80.9
-85.59,-81.25
-85.75,-80.73
-87.5,-82.11
-85.8,-82.8
-83.0,-80.31
-85.76,-81.63
-86.23,-81.83
-83.37,-82.3
-83.29,-81.42
-84.6,-82.36
-84.99,-82.2
-86.54,-84.28
-86.11,-84.19
-85.12,-83.9
-86.5,-84.3
-85.46,-84.3
-83.98,-84.89
-85.83,-86.52
-87.4,-88.16
-88.84,-89.15
-88.33,-89.16
-88.77,-88.49
-87.93,-91.68
-86.98,-86.44
-88.93,-86.59
-90.1,-86.91
-89.91,-84.04
-89.58,-84.01
-89.66,-85.2
-90.23,-86.23
-90.44,-86.12
-91.5,-87.55
,-88.93
-89.57,
,-88.6
-89.27,
-88.12,-86.48
-87.51,-86.14
-87.82,-87.17
-87.94,-87.41
-88.84,-88.01
-88.31,-88.45
-87.9,-87.6
-86.89,-87.48
-87.4,-86.86
-87.08,-85.57
-88.27,-85.69
-89.2,-87.34
-90.21,-88.48
-90.48,-89.01
-90.34,-88.9
-88.72,-88.27
-89.62,-88.29
-87.89,-85.65
-89.36,-84.45
-87.8,-86.91
-88.88,-85.84
-85.69,-85.18
-86.69,-84.27
-81.12,-79.34
-86.99,-81.06
-92.81,-87.17
-91.45,-87.91
-91.16,-86.58
-92.12,-87.51
-90.82,-89.07
-92.87,-88.47
-91.18,-86.58
-89.41,-85.92
-91.37,-87.5
-92.17,-88.07
-92.7,-88.21
-91.06,-87.26
-92.39,-86.21
-93.43,-87.26
-92.95,-88.87
-89.81,-87.77
-88.95,-87.18
-88.6,-88.11
-89.63,-87.66
-88.37,-86.19
-89.33,-85.31
-87.49,-83.2
-83.4,-82.26
-81.93,-83.19
-80.72,-82.68
-83.63,-85.52
-84.33,-86.36
-83.12,-86.3
-82.02,-86.13
-85.29,-89.32
-86.09,-86.95
-84.73,-86.34
-85.52,-86.23
-86.54,-87.74
-87.74,-88.8
-91.09,-90.76
-92.27,-93.07
-92.38,-90.78
-93.97,-94.73
-99.02,-96.1
-97.58,-96.27
-100.05,-95.72
-99.74,-94.64
-96.37,-97.67
-95.93,-100.84
-98.78,-99.93
-98.46,-101.4
-99.39,-102.67
-99.58,-102.61
-101.31,-103.19
-101.96,-102.31
-102.62,-100.79
-103.93,-100.37
-102.65,-100.55
-101.28,-103.96
-100.36,-104.29
-98.97,-104.63
-101.85,-102.35
-101.05,-101.89
-101.67,-107.09
-106.04,-107.59
-107.89,-107.06
-107.22,-105.52
-104.52,-101.84
-102.14,-102.06
-101.84,-103.75
-102.5,-106.06
-101.37,-106.93
-101.89,-109.7
-100.98,-108.19
-102.3,-108.91
-101.64,-108.58
-108.85,-114.55
-112.05,-115.69
-106.78,-110.31
,-105.15
,-104.58
,-120.85
,-130.09
,-125.45
,-120.62
