PC2,PC3
1.4,-3.6
2.3,-2.6
-2.5,-3.8
-0.8,-1.5
-3.2,0.7
10.7,3.7
5.8,4.6
4.0,2.9
7.7,6.7
6.1,6.5
7.3,6.4
7.1,7.3
6.0,6.7
6.5,6.8
7.4,7.9
6.4,13.4
9.2,11.6
10.8,14.3
16.0,11.4
9.2,3.8
8.1,3.8
6.2,12.9
7.9,10.2
9.2,9.6
8.7,10.3
10.7,8.4
12.6,9.8
14.2,11.5
9.9,11.2
13.1,10.9
19.4,16.9
19.9,17.1
19.8,17.1
19.9,17.6
20.0,17.7
20.1,17.7
20.3,18.2
20.3,17.9
20.4,18.3
20.2,18.4
19.9,18.4
20.1,18.4
19.8,18.2
15.9,15.8
13.7,15.2
14.8,15.4
12.2,15.6
15.0,15.5
13.1,15.4
15.0,13.5
17.0,14.9
16.1,13.7
17.5,10.4
16.4,16.9
20.5,18.4
20.1,18.3
20.8,19.0
21.2,19.3
21.5,19.4
22.0,19.8
21.5,19.6
21.7,19.5
22.1,20.2
22.3,20.6
22.3,20.5
22.0,19.7
21.0,19.8
20.2,20.5
21.6,17.9
22.5,20.0
23.0,20.5
20.6,20.5
21.4,20.5
20.6,20.5
22.5,20.5
20.3,20.5
21.3,18.2
22.1,20.2
22.1,19.9
22.4,20.3
22.1,20.1
22.0,20.0
21.9,19.6
21.8,19.6
22.0,19.1
21.6,19.5
22.0,19.3
21.8,19.7
22.0,19.7
21.8,19.9
20.1,20.4
24.6,22.0
19.9,19.7
22.1,20.6
21.7,20.2
21.8,20.2
21.7,19.8
21.9,20.1
22.0,20.3
22.4,20.7
21.9,20.5
21.7,20.1
21.9,20.1
21.9,19.8
21.8,19.7
21.9,19.1
20.2,18.0
20.3,20.4
22.6,20.1
20.8,17.5
20.3,17.6
20.2,17.5
20.2,18.1
22.6,17.7
22.3,19.7
20.1,17.7
20.2,17.5
21.6,18.6
23.3,20.5
23.1,20.9
23.3,21.0
23.6,21.0
23.5,21.0
23.5,21.0
23.5,21.0
23.6,21.0
23.7,21.1
23.6,21.0
23.7,21.1
23.7,21.2
23.7,21.1
23.5,21.0
23.2,20.7
23.2,21.0
23.2,21.5
23.1,21.1
23.8,22.0
24.4,21.9
24.6,22.0
24.6,22.0
24.3,22.0
23.7,21.3
23.8,21.2
23.7,21.1
23.8,21.2
23.7,21.2
23.7,21.2
23.8,21.2
23.8,21.3
23.8,21.1
23.8,21.2
23.8,21.2
23.8,21.2
23.7,21.1
23.7,21.1
23.7,21.1
23.8,21.1
23.6,21.0
24.5,22.0
24.6,22.1
24.6,22.3
24.6,22.0
24.6,22.1
24.6,22.0
24.6,22.1
24.6,22.1
24.2,21.9
23.7,21.1
23.7,21.1
24.1,21.4
24.9,22.3
25.0,22.5
25.0,22.5
