PC2,PC3
-99.0,-92.0
-98.0,
-100.0,
-98.0,-93.67
-98.67,
-98.0,-93.0
-98.0,
,-93.0
-102.0,
-101.0,
,-92.0
-104.0,
-105.19,
-104.17,-93.73
-105.0,-92.4
-103.8,-92.85
-103.6,-94.28
-104.07,-94.08
-105.5,-95.17
-107.82,-96.28
-110.85,-98.08
-110.94,-99.45
-110.85,-95.3
-110.33,-97.44
-108.9,-93.89
-105.21,-93.05
-110.12,-91.09
-111.5,-94.07
-110.07,-91.48
-103.11,-87.03
-104.28,-86.26
-103.0,-79.03
-109.55,-80.41
-112.05,-86.3
-113.0,-91.89
-111.81,-92.27
-110.71,-92.26
-111.25,-90.22
-110.28,-92.45
-107.4,-89.56
-102.3,-87.47
-97.56,-79.3
-96.59,-81.1
-95.04,-90.93
-96.91,-89.7
-98.66,-88.52
-100.48,-84.74
-103.13,-94.09
-104.63,-96.96
-102.12,-98.3
-100.15,-97.17
-98.23,-99.77
-96.19,-97.4
-93.93,-98.92
-94.03,-98.84
-93.11,-99.67
-94.17,-100.25
-93.56,-102.83
-92.4,-104.4
-95.81,-104.15
-96.17,-105.44
-96.41,-107.15
-98.87,-107.72
-99.59,-109.0
-98.07,-108.72
-99.48,-107.85
-97.87,-107.72
-99.89,-106.65
-101.8,-107.83
-103.89,-109.21
-102.47,-108.68
-104.0,-107.6
-105.33,-108.84
-107.37,-111.84
-106.33,-112.93
-110.13,-113.27
-109.85,-113.0
-107.67,-113.7
-106.0,-112.78
-107.1,-112.97
-108.67,-112.67
-109.1,-112.41
-109.63,-113.2
-109.43,-112.52
-111.11,-113.97
-110.63,-114.74
-108.04,-115.47
-109.63,-115.89
-109.74,-115.37
-113.4,-115.3
-115.37,-116.03
-116.33,-113.96
-117.33,-113.86
-117.13,-115.73
-117.34,-115.83
-119.32,-115.0
-117.15,-116.6
-116.28,-115.89
-115.62,-115.39
-116.26,-116.07
-115.8,-114.53
-117.81,-117.74
-118.2,-117.0
-117.89,-116.86
-117.77,-116.68
-118.44,-118.29
-119.27,-116.17
-118.37,-117.4
-118.23,-117.83
-119.04,-117.63
-120.03,-118.36
-121.59,-120.1
-122.23,-119.0
-120.43,-121.19
-119.48,-120.72
-121.23,-119.52
-119.74,-120.0
-119.7,-118.16
-119.37,-118.72
-120.6,-119.1
-120.22,-117.14
-120.17,-117.91
-118.41,-119.82
-117.37,-117.59
-116.07,-118.13
-118.53,-114.91
-118.96,-118.06
-118.03,-116.84
-117.37,-117.0
-120.36,-115.95
-121.0,-115.2
-122.17,-113.42
-121.5,-114.69
-122.22,-116.68
-122.03,-119.35
-120.85,-120.17
-119.03,-120.56
-121.14,-116.2
-120.68,-117.65
-121.34,-120.05
-122.87,-122.0
-120.56,-120.24
-121.97,-120.7
