PC2,PC3
7.6,6.5
9.7,7.5
20.6,13.0
18.7,14.4
18.6,15.0
18.4,14.9
20.7,13.8
21.0,12.9
23.0,16.0
22.5,16.0
23.0,16.0
22.6,16.0
26.0,16.0
26.0,16.0
26.0,16.0
26.0,15.5
6.0,14.9
26.0,22.2
25.0,21.5
26.0,21.7
26.0,21.3
26.0,22.2
26.0,21.8
26.0,15.7
26.0,15.7
26.0,10.7
26.0,9.0
26.0,13.0
26.0,14.8
26.0,16.0
26.0,19.8
26.0,21.7
26.0,22.2
26.0,21.4
26.0,22.4
26.0,20.6
26.0,21.5
26.0,21.7
26.0,21.1
26.0,20.9
26.0,21.1
26.0,22.0
26.0,22.6
25.0,22.6
26.0,22.0
26.0,22.0
26.0,22.0
26.0,22.0
26.0,22.0
25.4,23.0
25.4,22.0
26.0,22.0
25.4,22.0
26.0,22.0
25.4,22.0
25.4,22.0
25.1,22.0
25.3,23.0
