Device,MO DUT,MT DUT,MO REF,MT REF
1,-62.0,-64.0,-52.0,-58.0
2,-62.0,-64.0,-52.0,-58.0
3,-60.0,-64.0,-52.0,-58.0
4,-60.0,-64.0,-52.0,-58.0
5,-60.0,-64.0,-52.0,-58.0
6,-60.0,-61.0,-52.0,-57.0
7,-60.0,-61.0,-54.0,-57.0
8,-60.0,-61.0,-54.0,-57.0
9,-63.0,-62.0,-54.5,-57.0
10,-63.0,-62.0,-55.0,-57.0
11,-61.0,-62.0,-55.5,-57.0
12,-59.0,-62.0,-56.0,-58.0
13,-59.0,-62.0,-51.0,-58.0
14,-59.0,-62.0,-52.0,-59.0
15,-64.0,-63.0,-53.0,-59.0
16,-64.0,-63.0,-53.0,-59.0
17,-64.0,-63.0,-53.0,-57.0
18,-65.0,-63.0,-53.0,-57.0
19,-65.0,-63.0,-54.0,-57.0
20,-65.5,-63.0,-54.0,-57.0
21,-66.0,-63.0,-53.0,-57.0
22,-65.0,-63.0,-53.0,-57.0
23,-65.0,-63.0,-53.0,-57.0
24,-65.0,-63.0,-53.0,-57.0
25,-65.0,-63.0,-53.0,-57.0
26,-65.5,-63.0,-53.0,-57.0
27,-66.0,-63.0,-53.0,-57.0
28,-66.0,-63.0,-53.0,-57.0
29,-64.0,-63.0,-53.0,-57.0
30,-64.0,-63.0,-53.0,-57.0
31,-65.0,-63.0,-53.0,-54.0
32,-65.0,-63.0,-53.0,-54.0
33,-65.0,-63.0,-53.0,-54.0
34,-65.0,-63.0,-53.0,-58.0
35,-62.0,-63.0,-53.0,-58.0
36,-62.0,-63.0,-53.0,-58.0
37,-64.0,-63.0,-53.0,-58.0
38,-64.0,-63.0,-53.0,-58.0
39,-64.0,-63.0,-53.0,-58.0
40,-64.0,-63.0,-53.0,-58.0
41,-64.0,-63.0,-53.0,-58.0
42,-65.0,-63.0,-53.0,-58.0
43,-65.0,-63.0,-53.0,-57.0
44,-64.0,-63.0,-53.0,-57.0
45,-64.0,-63.0,-53.0,-57.0
46,-64.0,-63.0,-53.0,-58.0
47,-64.0,-63.0,-53.0,-58.0
48,-64.0,-63.0,-53.0,-58.0
49,-64.0,-63.0,-53.0,-57.0
50,-65.0,-63.0,-53.0,-57.0
51,-65.0,-63.0,-53.0,-57.0
52,-65.0,-63.0,-53.0,-58.0
53,-65.0,-63.0,-53.0,-58.0
54,-65.0,-63.0,-53.0,-58.0
55,-65.0,-63.0,-53.0,-58.0
56,-65.0,-63.0,-53.0,-58.0
57,-65.0,-63.0,-51.5,-58.0
58,-65.0,-63.0,-50.0,-58.0
59,-65.0,-63.0,-51.0,-58.0
60,-65.0,-63.0,-51.0,-58.0
61,-65.0,-63.0,-51.0,-59.0
62,-66.0,-63.0,-51.5,-59.0
63,-66.0,-63.0,-52.0,-59.0
64,-66.0,-63.0,-53.0,-57.0
65,-66.0,-63.0,-53.0,-57.0
66,-66.0,-63.0,-53.0,-57.0
67,-66.0,-63.0,-52.0,-57.0
68,-65.0,-63.0,-52.0,-57.0
69,-65.0,-63.0,-52.0,-57.0
70,-65.0,-63.0,-53.0,-56.0
71,-63.0,-63.0,-53.0,-56.0
72,-63.0,-66.0,-52.0,-56.0
73,-63.0,-66.0,-52.5,-56.0
74,-64.0,-66.0,-53.0,-56.0
75,-64.0,-67.0,-53.0,-56.0
76,-64.0,-67.0,-53.0,-58.0
77,-62.0,-67.0,-53.0,-58.0
78,-62.0,-68.0,-53.0,-58.0
79,-62.0,-68.0,-53.0,-56.0
80,-63.0,-68.0,-53.0,-56.0
81,-63.0,-66.0,-53.0,-56.0
82,-63.0,-66.0,-53.0,-56.0
