Device,DUT,REF
1,-71.0,-51.0
2,-70.0,-51.0
3,-70.0,-51.0
4,-70.0,-51.0
5,-71.0,-53.0
6,-71.0,-53.0
7,-71.0,-53.0
8,-70.0,-53.0
9,-70.0,-53.0
10,-70.0,-53.0
11,-71.0,-54.0
12,-71.0,-54.0
13,-71.0,-54.0
14,-71.0,-54.0
15,-71.0,-54.0
16,-71.0,-54.0
17,-70.0,-54.0
18,-70.0,-54.0
19,-70.0,-54.0
20,-69.0,-53.0
21,-69.0,-53.0
22,-69.0,-53.0
23,-71.0,-56.0
24,-71.0,-56.0
25,-71.0,-56.0
26,-70.0,-57.0
27,-70.0,-57.0
28,-70.0,-57.0
29,-70.0,-56.0
30,-70.0,-56.0
31,-70.0,-56.0
32,-71.0,-56.0
33,-71.0,-56.0
34,-71.0,-56.0
35,-72.0,-57.0
36,-72.0,-57.0
37,-72.0,-57.0
38,-71.0,-56.0
39,-71.0,-56.0
40,-71.0,-56.0
41,-73.0,-56.0
42,-73.0,-56.0
43,-73.0,-56.0
44,-69.0,-56.0
45,-69.0,-56.0
46,-69.0,-56.0
47,-73.0,-56.0
48,-73.0,-56.0
49,-73.0,-56.0
50,-72.0,-56.0
51,-72.0,-58.0
52,-72.0,-58.0
53,-74.0,-58.0
54,-74.0,-59.0
55,-74.0,-59.0
56,-72.0,-59.0
57,-72.0,-57.0
58,-72.0,-57.0
59,-73.0,-57.0
60,-73.0,-56.0
61,-73.0,-56.0
62,-72.0,-56.0
63,-72.0,-53.0
64,-72.0,-53.0
65,-78.0,-53.0
66,-78.0,-53.0
67,-78.0,-53.0
68,-75.0,-53.0
69,-75.0,-53.0
70,-75.0,-53.0
71,-76.0,-53.0
72,-76.0,-53.0
73,-76.0,-54.0
74,-72.0,-54.0
75,-72.0,-54.0
76,-72.0,-54.0
77,-72.0,-54.0
78,-72.0,-54.0
79,-72.0,-53.0
80,-71.0,-53.0
81,-71.0,-53.0
82,-71.0,-64.0
83,-75.0,-64.0
84,-75.0,-64.0
85,-75.0,-70.0
86,-79.0,-70.0
87,-79.0,-70.0
88,-79.0,-67.0
89,-88.0,-67.0
90,-88.0,-67.0
91,-88.0,-64.0
92,-88.0,-64.5
93,-88.0,-65.0
94,-88.0,-65.0
95,-90.0,-65.0
96,-90.0,-65.0
97,-90.0,-65.0
98,-90.0,-65.0
99,-90.0,-65.0
100,-90.0,-65.0
101,-90.0,-65.0
102,-90.0,-65.0
103,-90.0,0.0
104,-90.0,0.0
105,-90.0,0.0
106,-90.0,-58.0
107,-90.0,-58.0
108,-90.0,-58.0
109,-60.0,-57.0
110,-60.0,-57.0
111,-60.0,-57.0
112,-60.0,-56.0
113,-60.0,-56.0
114,-63.0,-56.0
115,-63.0,-55.0
116,-63.0,-55.0
117,-61.0,-56.0
118,-61.0,-56.0
119,-49.0,-56.0
120,-49.0,-56.0
121,-49.0,-56.0
122,-50.0,-56.0
123,-50.0,-56.0
124,-50.0,-56.0
125,-47.0,-56.0
126,-47.0,-53.0
127,-47.0,-53.0
128,-51.0,-53.0
129,-51.0,-56.0
130,-51.0,-56.0
131,-49.0,-56.0
132,-49.0,-65.0
133,-49.0,-65.0
134,-45.0,-65.0
135,-45.0,-70.0
136,-45.0,-70.0
137,-46.0,-70.0
138,-46.0,-72.0
139,-46.0,-72.0
140,-48.0,-72.0
141,-48.0,-72.0
142,-48.0,-72.0
143,-50.0,-72.0
144,-50.0,-68.0
145,-50.0,-68.0
146,-59.0,-68.0
147,-59.0,-69.0
148,-59.0,-69.0
149,-60.0,-69.0
150,-60.0,-69.0
151,-60.0,-69.0
152,-61.0,-70.0
153,-61.0,-70.0
154,-61.0,-70.0
155,-64.0,-74.0
156,-64.0,-74.0
157,-64.0,-74.0
158,-61.0,-74.0
159,-61.0,-74.0
160,-61.0,-74.0
161,-59.0,-72.0
162,-59.0,-72.0
163,-59.0,-72.0
164,-67.0,-72.0
165,-67.0,-72.0
166,-67.0,-72.0
167,-67.0,-85.0
168,-67.0,-85.0
169,-64.0,-85.0
170,-64.0,-85.0
171,-64.0,-85.0
172,-64.0,-85.0
173,-64.0,-87.0
174,-64.0,-87.0
175,-65.0,-87.0
176,-65.0,-87.0
177,-65.0,-87.0
178,-69.0,-87.0
179,-51.0,-90.0
180,-51.0,-90.0
181,-51.0,-90.0
182,-49.0,-88.0
183,-49.0,-88.0
184,-49.0,-88.0
185,-47.0,-74.0
186,-47.0,-52.0
187,-47.0,-52.0
188,-49.0,-52.0
189,-49.0,-52.0
190,-49.0,-52.0
191,-48.0,-52.0
192,-48.0,-52.0
193,-48.0,-52.0
194,-49.0,-51.0
195,-49.0,-51.0
196,-49.0,-51.0
197,-47.0,-54.0
198,-47.0,-54.0
199,-47.0,-54.0
200,-44.0,-62.0
201,-44.0,-62.0
202,-44.0,-62.0
203,-48.0,-72.0
204,-48.0,-72.0
205,-48.0,-72.0
206,-54.0,-72.0
207,-54.0,-72.0
208,-54.0,-72.0
209,-60.0,-72.0
210,-60.0,-72.0
211,-60.0,-69.0
212,-62.0,-69.0
213,-62.0,-82.0
214,-62.0,-88.0
215,-63.0,-88.0
216,-63.0,-88.0
217,-63.0,-88.0
218,-63.0,-88.0
219,-63.0,-88.0
220,-65.0,-85.0
221,-65.0,-85.0
222,-65.0,-85.0
223,-67.0,-84.0
224,-66.0,-84.0
225,-65.0,-84.0
226,-65.0,-84.0
227,-65.0,-84.0
228,-65.0,-84.0
229,-48.0,-83.0
230,-48.0,-83.0
231,-48.0,-83.0
232,-50.0,-83.0
233,-50.0,-83.0
234,-50.0,-83.0
235,-54.0,-85.0
236,-54.0,-85.0
237,-54.0,-85.0
238,-50.0,-73.0
239,-50.0,-73.0
240,-50.0,-73.0
241,-47.0,0.0
242,-47.0,0.0
243,-47.0,0.0
244,-44.0,-52.0
245,-44.0,-52.0
246,-44.0,-52.0
247,-43.0,-57.0
248,-43.0,-57.0
249,-43.0,-57.0
250,-45.0,-56.0
251,-45.0,-56.0
252,-45.0,-56.0
253,-49.0,-54.0
254,-49.0,-54.0
255,-60.0,-54.0
256,-60.0,-52.0
257,-60.0,-52.0
258,-60.0,-52.0
259,-59.0,-53.0
260,-59.0,-53.0
261,-59.0,-53.0
262,-62.0,-56.0
263,-62.0,-56.0
264,-62.0,-56.0
265,-60.0,-56.0
266,-60.0,-56.0
267,-60.0,-56.0
268,-63.0,-56.0
269,-63.0,-56.0
270,-63.0,-56.0
271,-61.0,-73.0
272,-61.0,-73.0
273,-61.0,-73.0
274,-67.0,-72.0
275,-67.0,-72.0
276,-67.0,-72.0
277,-73.0,-67.0
278,-73.0,-67.0
279,-73.0,-67.0
280,-77.0,-69.0
281,-77.0,-69.0
282,-77.0,-69.0
283,-76.0,-69.0
284,-76.0,-69.0
285,-76.0,-69.0
286,-72.0,-67.0
287,-72.0,-67.0
288,-72.0,-67.0
289,-75.0,-65.0
290,-75.0,-65.0
291,-75.0,-65.0
292,-76.0,-65.0
293,-76.0,-65.0
294,-76.0,-65.0
295,-79.0,-28.0
296,-79.0,-28.0
