[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,678,,,
,,,,,,,,,
,,,,,,678,,,
,,,,,,678,,,
,,,,,,678,,,
,,,,,,678,,,
,,,,,,,,,
,,,,,25,614,,,
,,,,,,,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-102.239642,-3.935011,,,,3.775913,1.168830
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,-101.148302,-2.797818,,,,3.260513,1.779061
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-102.225985,-3.041129,,,,3.645241,1.153853
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-102.183514,-4.421112,,,,2.955404,1.534899
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
