[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-79.319363,,,,,4.023459,0.332433
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,-79.066180,,,,,1.814635,-0.327672
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-78.187221,,,,,4.048143,0.353809
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-74.635565,,,,,1.633791,-0.440969
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-73.474008,,,,,4.145497,0.365409
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-78.712139,,,,,3.208960,0.423820
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-77.657787,,,,,4.060134,0.365480
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-78.541769,,,,,4.106967,0.337102
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,-77.905825,,,,,4.096957,0.372896
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-77.371268,,,,,4.133614,0.338238
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,-78.363873,,,,,1.551596,0.073321
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-77.613165,,,,,4.109952,0.339987
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-77.005388,,,,,1.666001,-0.565028
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-76.872204,,,,,4.169909,0.340080
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
